Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
PG UN Equity,Procter & Gamble Co/The,US,Consumer Staples,84.29,85.13,-7009,10351,66829,138183,15547,11614,18.207,48.758,79107,-11,14.752,227625.9681,17567,714,22386
BKU UN Equity,BankUnited Inc,US,Financials,27.66,32.41,-87.545,201.608,2040.169,17680.739,-75.883,-103.952,40.3589,#N/A N/A,858.309,#N/A N/A,22.641,2811.715,#N/A N/A,102.335,2245.504
T UN Equity,AT&T Inc,US,Telecommunication Services,32.92,34.56,-9541,17249,93119,287939,33510,11302,22.6719,58.7516,131171,-2158,14.751,170756.04,48125,4216,73167
SPB UN Equity,Spectrum Brands Holdings Inc,US,Consumer Staples,89.68,93.68,-61.904,214.055,1086.83,5513.029,432.69,359.343,10.8815,35.506,4429.097,#N/A N/A,18.491,4769.1078,639.581,202.124,2796.24
TRV UN Equity,Travelers Cos Inc/The,US,Financials,102.82,107.44,-729,3625,25321,104522,4095,4095,19.8001,#N/A N/A,27116,#N/A N/A,14.743,34074.1677,#N/A N/A,369,5981
CIE UN Equity,Cobalt International Energy Inc,US,Energy,9.12,10.24,0,-516.319,2322.189,4632.269,-116.221,-520.798,#N/A N/A,#N/A N/A,0,0,69.85,3762.3362,-376.475,66.979,170.732
TKR UN Equity,Timken Co/The,US,Industrials,38.01,42.48,-89.7,176.9,1643.9,3106.7,371.6,277.2,7.4196,28.8918,3063.5,-24.3,25.757,3370.9806,352.8,27.3,293.2
UTX UN Equity,United Technologies Corp,US,Industrials,114.78,121.91,-2051,6210,35530,91774,7611,5907,14.8401,27.2288,63308,-285,17.999,104640.1426,11233,982,14963
WMT UN Equity,Wal-Mart Stores Inc,US,Consumer Staples,84.98,83.93,-6153,15828,84053,207668,25407,13555,5.4869,24.773,483792,-298,19.728,273906.6812,35696,2419,48743
CSCO UW Equity,Cisco Systems Inc,US,Information Technology,26.365,29.51,-3817,7685,56715,103978,12174,10929,19.5171,58.5493,47302,702,20.86,134819.7576,11669,563,-31135
INTC UW Equity,Intel Corp,US,Information Technology,33.04,33.25,-4461,10668,56988,90616,20685,9775,26.2681,62.854,54983,64,27.739,159748.4,22774,194,-8841
MSFT UW Equity,Microsoft Corp,US,Information Technology,40.4,43.85,-9270,21370,90170,169656,32380,26844,29.8006,67.0313,91505,-1110,28.658,331432.9203,32955,640,-65473
P UN Equity,Pandora Media Inc,US,Information Technology,16.6,14.8,0,-33.707,542.354,702.267,8.298,-22.663,-3.9404,43.5294,853.164,-60.608,57.871,3454.2397,-19.331,#N/A N/A,-316.394
C UN Equity,Citigroup Inc,US,Financials,46.95,52.42,-543,8844,213891,1882849,39973,36358,18.1563,#N/A N/A,91285,#N/A N/A,24.78,142234.4748,34367,14268,566425
OA UN Equity,Orbital ATK Inc,US,Industrials,60.7208,66.28,#N/A N/A,349.445,2005.859,5765.799,#N/A N/A,#N/A N/A,12.0482,23.6731,5048.115,#N/A N/A,33.79,4161.8663,#N/A N/A,84.846,2040.832
AIG UN Equity,American International Group Inc,US,Financials,48.87,55.33,-686,8852,108983,527190,6274,6274,20.7964,#N/A N/A,66396,#N/A N/A,19.522,68413.6988,#N/A N/A,1886,34290
HON UN Equity,Honeywell International Inc,US,Industrials,97.76,102.78,-1459,4230,19063,46181,4930,3850,14.6635,28.2583,40427,-512,21.004,76527.5352,6875,#N/A N/A,125
ATO UN Equity,Atmos Energy Corp,US,Utilities,56.91,53.04,-146.248,289.817,3086.232,8594.704,739.986,-95.265,12.3732,32.027,4940.916,-41.408,19.449,5736.6953,865.336,129.295,2610.423
MO UN Equity,Altria Group Inc,US,Consumer Staples,53.1,56.29,-3824,4319,4326,34082,4459,4302,42.3263,56.0498,17736,-13,15.522,104950.5619,7710,#N/A N/A,11752
BOH UN Equity,Bank of Hawaii Corp,US,Financials,56.46,60.26,-80.012,160.906,1057.413,14510.166,206.564,191.845,41.7225,#N/A N/A,592.65,#N/A N/A,20.509,2477.2139,#N/A N/A,38.029,329.016
LEA UN Equity,Lear Corp,US,Consumer Discretionary,100.35,108.92,-63.2,483.4,3155.8,8691.2,802.2,390,4.8228,8.1463,17433.7,-325,29.093,7953.2719,1150.6,63.9,196
WLK UN Equity,Westlake Chemical Corp,US,Materials,57.31,66.76,-70.722,665.669,3122.348,5126.283,981.353,489.238,25.506,29.5472,4231.104,10.099,43.802,7626.9653,1269.092,31.343,-49.5
IP UN Equity,International Paper Co,US,Materials,52.66,56.41,-605,857,6977,29403,2970,1570,5.9646,22.3876,23522,9,21.167,22307.5043,2842,662,7994
CBT UN Equity,Cabot Corp,US,Materials,42.41,45.12,-73,200,2064,4084,315,144,9.1856,19.7697,3647,-54,35.781,2702.2771,536,55,1032
ENH UN Equity,Endurance Specialty Holdings Ltd,US,Financials,61.12,63.57,-92.03,289.769,3120.454,10145.818,226.67,178.44,18.3643,#N/A N/A,2060.318,#N/A N/A,15.942,2735.597,#N/A N/A,40.96,-277.984
CSL UN Equity,Carlisle Cos Inc,US,Industrials,89.68,93.07,-59,268,2150.6,3718.4,263.9,136.7,13.1198,25.7999,3138,-53.7,27.332,5754.4445,511.5,33.4,-53.8
ABT UN Equity,Abbott Laboratories,US,Health Care,44.76,47.37,-1225,1968,22993,42514,4062,2969,12.0072,53.6392,19963,-308,20.008,67399.184,3976,140,3424
PGRE UN Equity,Paramount Group Inc,US,Financials,19.35,18.35,#N/A N/A,#N/A N/A,5313.048,8728.976,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4100.2073,#N/A N/A,#N/A N/A,2722.173
AFL UN Equity,Aflac Inc,US,Financials,57.08,62.25,-649,2923,17853,127253,7965,7965,20.6995,#N/A N/A,23015,#N/A N/A,15.736,25719.4836,#N/A N/A,320,1892
APD UN Equity,Air Products & Chemicals Inc,US,Materials,145.61,156.14,-627.7,991.7,7808.6,17779.1,2187.1,502.9,12.7234,26.8646,10439,-2.7,25.628,31200.4441,2285.1,125.1,5781.9
ARG UN Equity,Airgas Inc,US,Materials,112.64,117.22,-152.898,358.28,2002.424,5904.774,705.584,298.608,12.2735,55.7516,5182.018,-2.414,18.786,8414.4354,952.778,#N/A N/A,2374.61
CHTR UW Equity,Charter Communications Inc,US,Consumer Discretionary,167.126,199.735,0,-96,97,20950,2324,80,10.5778,38.1183,8896,-36,28.633,16512.0819,3009,#N/A N/A,17585
AEP UN Equity,American Electric Power Co Inc,US,Utilities,62.81,57.58,-981,1789,16872,57925,4814,587,20.3958,62.709,16626,105,17.291,30729.1945,5356,879,18828
CCK UN Equity,Crown Holdings Inc,US,Materials,44.31,53,0,423,548,9817,1018,712,9.3242,16.4473,9041,19,21.722,6155.4971,1014,245,5067
HES UN Equity,Hess Corp,US,Energy,67.49,75.08,-313,4250,24365,40975,4933,-131,27.0501,62.9793,10902,#N/A N/A,40.86,20177.3886,6011,338,1876
APC UN Equity,Anadarko Petroleum Corp,US,Energy,81.75,84.23,-460,-2126,22563,60665,8629,-1054,28.1627,52.461,18631,-142,43.271,41402.3209,9551,746,6393
GRA UN Equity,WR Grace & Co,US,Materials,69.5679,79.5761,0,290.5,524.4,4180.4,-1463.1,-1623.1,15.0889,37.8685,3215.6,-43.1,22.306,6398.9094,618.8,48.7,1419
AON UN Equity,Aon PLC,US,Financials,90.05,100.36,-254,1293,7272,28827,1532,1298,15.4412,#N/A N/A,11955,-13,17.223,25676.5588,2454,245,4901
APA UN Equity,Apache Corp,US,Energy,62.57,65.84,-351,-415,32986,60990,9005,-1996,21.1039,40.4618,13860,772,44.36,23556.4899,7729,305,10412
DCI UN Equity,Donaldson Co Inc,US,Industrials,36.56,37.04,-87.098,254.579,892.549,1869.998,268.25,164.613,13.8009,35.3148,2470.592,#N/A N/A,22.621,5020.0368,409.989,11.1,248.96
ADM UN Equity,Archer-Daniels-Midland Co,US,Consumer Staples,46.63,47.88,-595,1921,20261,41821,4781,3922,2.9698,5.3132,84450,1161,24.785,30019.8128,3382,346,136
GAS UN Equity,AGL Resources Inc,US,Utilities,56.38,49.11,-231,416,3802,13932,775,27,18.8271,48.3204,5269,-98,18.763,6741.5256,1361,185,4433
JAH UN Equity,Jarden Corp,US,Consumer Discretionary,48.02,53.07,0,201.4,2607.1,10823,555.4,310.8,7.761,29.6824,8064.7,-35.9,24.144,9237.9193,816.8,219.4,4389.9
ADP UW Equity,Automatic Data Processing Inc,US,Information Technology,82.53,88.84,-902.3,1482.5,5827.3,30208.1,2118.3,1900,17.8682,40.9798,10451.5,10.9,18.102,39784.1471,2304.3,6.1,-2536
AZO UN Equity,AutoZone Inc,US,Consumer Discretionary,596.96,642.68,0,1089.968,-1662.81,7717.101,1359.119,911.856,19.2394,52.1248,9641.999,-3.214,16.618,19041.6893,2111.599,#N/A N/A,4304.908
AVY UN Equity,Avery Dennison Corp,US,Materials,52.27,53.55,-121.3,216.6,1306.8,4493.5,424.6,273.7,7.6299,26.1895,6309.4,#N/A N/A,21.196,4761.852,678.8,62.4,916.6
AVP UN Equity,Avon Products Inc,US,Consumer Staples,7.74,8.51,-108.8,-127,925,6090.4,684.8,517.5,2.3209,60.5561,9177.6,-190.5,47.16,3364.2349,407.5,113.5,1803.7
BHI UN Equity,Baker Hughes Inc,US,Energy,57.99,62.51,-272,1304,18284,28642,2757,936,9.783,18.1612,23776,-374,46.086,25086.416,4108,#N/A N/A,3204
GMT UN Equity,GATX Corp,US,Industrials,57.15,62.25,-61.6,199.8,1331.2,6816.3,433,-586.4,21.4692,36.4102,1406.2,#N/A N/A,32.229,2526.03,585.5,#N/A N/A,4099.7
BLL UN Equity,Ball Corp,US,Materials,63.33,71.71,-73.2,518.5,1414.7,7614.9,1037.1,718.4,10.9978,19.705,8534.4,#N/A N/A,21.802,8671.2672,1224.6,166.7,3126
ITC UN Equity,ITC Holdings Corp,US,Utilities,42.54,38.73,-92.587,274.282,1616.948,6807.364,517.894,-222.808,58.7371,#N/A N/A,1047.32,-9.254,18.776,6624.9637,740.787,183.283,4028.545
MRD UW Equity,Memorial Resource Development Corp,US,Energy,19.15,20.51,#N/A N/A,#N/A N/A,1458.999,4021.667,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,56.917,3706.6588,#N/A N/A,#N/A N/A,2101.484
KEYS UN Equity,Keysight Technologies Inc,US,Information Technology,33.39,37.54,#N/A N/A,#N/A N/A,1209,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5604.0318,#N/A N/A,#N/A N/A,0
ALNY UW Equity,Alnylam Pharmaceuticals Inc,US,Health Care,93.83,101.53,0,-371.363,904.478,986.357,-151.375,-182.688,-1040.0385,#N/A N/A,37.389,-3.639,60.522,7749.1423,-377.648,#N/A N/A,-956.468
GGG UN Equity,Graco Inc,US,Industrials,71.24,75.78,-65.312,221.28,646.041,1427.818,232.424,199.039,25.5077,54.6882,1187.048,-19.827,24.985,4236.5717,339.978,18.14,64.407
BK UN Equity,Bank of New York Mellon Corp/The,US,Financials,36,39.14,-816,2745,39598,386296,2711,1879,26.3101,#N/A N/A,15963,#N/A N/A,21.877,40525.5498,#N/A N/A,349,-84558
BCR UN Equity,CR Bard Inc,US,Health Care,171.03,169.14,-66.1,811.6,1832.2,5113.7,1244.7,1132.9,22.3728,61.5205,3247.7,52.4,19.021,12809.932,894.7,44.9,431.1
BAX UN Equity,Baxter International Inc,US,Health Care,38.1964,37.5663,-1079,1870,8426,25563,3155,1823,13.9294,46.8902,15033,-117,17.634,38106.488,2936,180,7190
CSRA UN Equity,CSRA Inc,US,Information Technology,#N/A N/A,#N/A N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A N/A,#N/A N/A,#N/A,#N/A,#N/A
TPX UN Equity,Tempur Sealy International Inc,US,Consumer Discretionary,55.03,57.51,0,85.2,185.6,2699.7,174.6,132.7,9.3724,38.6395,2922.4,#N/A N/A,31.534,3351.9342,366.2,#N/A N/A,1565
HE UN Equity,Hawaiian Electric Industries Inc,US,Utilities,34.3,33.05,-121.363,173.889,1835.701,10670.471,277.73,-89.373,10.4443,41.9886,3282.005,-15.645,28.976,3517.8924,518.942,75.414,1132.505
BDX UN Equity,Becton Dickinson and Co,US,Health Care,138.08,146.72,-421,1185,5053,12447,1746,1154,19.0149,50.9354,8446,#N/A N/A,22.862,26702.1702,2168,136,1226
BMS UN Equity,Bemis Co Inc,US,Materials,44.3,48.8,-108.3,188.2,1595,4020.8,302.3,140.1,9.2183,19.6065,4376.1,#N/A N/A,18.681,4424.7227,589.2,65.5,1324.7
RAD UN Equity,Rite Aid Corp,US,Consumer Staples,6.98,7.98,0,330.882,-1792.658,7185.986,668.087,264.548,2.9561,28.5662,26277.907,-149.439,40.39,6853.1497,1188.061,401.162,5617.733
BRK/B UN Equity,Berkshire Hathaway Inc,US,Financials,143.91,147.41,0,20707,240302,517363,31124,17592,16.6885,24.1095,193463,#N/A N/A,16.208,354630.7376,40194,2790,-175624
BBY UN Equity,Best Buy Co Inc,US,Consumer Discretionary,35.2,38.1,-244,1007,4573,15762,1482,932,2.7315,22.0148,40600,36,42.942,12346.7523,1759,91,-1503
HUBB UN Equity,Hubbell Inc,US,Industrials,106.04,113.8,-120.3,325.2,2035,3411.4,402.1,341.1,15.6005,33.2992,3317.2,-31.9,32.361,5501.0487,594.6,#N/A N/A,-63.4
KSU UN Equity,Kansas City Southern,US,Industrials,110.09,115.84,-109.3,475.2,3953.1,7817,907.6,-67.8,31.0289,#N/A N/A,2550.2,5.9,29.651,12155.1574,1040.4,73.9,1897.1
HRB UN Equity,H&R Block Inc,US,Consumer Discretionary,34.28,34.15,-219.527,-20.464,1238.676,3091.29,674.377,543.365,22.5477,48.5023,3030.974,#N/A N/A,25.609,9432.7642,843.286,41.51,-502.31
IT UN Equity,Gartner Inc,US,Information Technology,84.22,83.11,0,186.04,152.523,1768.953,349.194,314.952,14.252,60.5669,1958.169,-60.464,20.051,7413.6929,316.945,#N/A N/A,28.78
BSX UN Equity,Boston Scientific Corp,US,Health Care,14.81,16.9,0,288,6701,16718,1104,840,4.3514,69.9222,7331,#N/A N/A,24.257,19645.3149,1036,219,4006
IEX UN Equity,IDEX Corp,US,Industrials,72.35,77.26,-82.473,285.321,1587.9,2939.312,368.195,325.979,20.5477,44.1694,2144.488,-18.153,20.598,5744.3367,518.564,41.805,336.357
BMY UN Equity,Bristol-Myers Squibb Co,US,Health Care,60.27,60.92,-2377,2717,15201,33450,3986,3454,17.0651,73.6085,16062,-7,24.524,99974.459,3286,203,-3881
INT UN Equity,World Fuel Services Corp,US,Energy,48.97,54.75,-10.607,206.475,1811.71,5523.665,179.62,110.088,0.5969,1.7944,44011.487,#N/A N/A,26.762,3528.9742,316.46,28.282,378.731
BF/B UN Equity,Brown-Forman Corp,US,Consumer Staples,88.87,91.69,-248,667,2075,4243,518,390,31.7065,69.7347,3053,#N/A N/A,19.476,18776.7124,1019,27,887
COG UN Equity,Cabot Oil & Gas Corp,US,Energy,26.5,29,-33.42,404.185,2366.471,5807.264,1201.1,-114.852,35.8459,40.6317,1997.704,-12.659,36.086,10945.0265,1358.045,66.503,1302.013
CPB UN Equity,Campbell Soup Co,US,Consumer Staples,45.74,46.59,-395,894,1606,8297,1049,692,15.2668,34.8887,8358,-27,16.185,14332.3082,1582,117,3833
GXP UN Equity,Great Plains Energy Inc,US,Utilities,29.57,26.61,-143.3,238.8,3642.4,10174.7,755.6,16.2,20.8666,71.2463,2554.8,-14.4,17.731,4557.4573,859.1,191.7,3886.4
CCL UN Equity,Carnival Corp,US,Consumer Discretionary,43.96,43.99,-776,1223,24204,39448,3430,847,11.2007,34.4267,15883,#N/A N/A,28.154,34339.6852,3416,289,8757
KMT UN Equity,Kennametal Inc,US,Industrials,31.42,35,-56.581,160.017,1954.254,3751.813,278.4,155.196,9.1207,31.4823,2912.323,-44.899,29.919,2485.5116,402.824,33.58,859.669
CTL UN Equity,CenturyLink Inc,US,Telecommunication Services,37.17,37.86,-1239,823,16445,50646,5088,2138,14.1605,57.0334,18135,-218,21.481,21213.1146,7031,#N/A N/A,20417
9876566D UN Equity,Chubb Corp/The,US,Financials,97.9,100.45,-469,2111,16506,52070,2329,2271,20.3688,#N/A N/A,14046,#N/A N/A,16.053,23086.1648,#N/A N/A,#N/A N/A,3243
CI UN Equity,Cigna Corp,US,Health Care,106.83,121.63,-11,1996,11268,55653,2084,1609,8.7594,33.0118,34009,-620,22.764,27944.4465,3566,263,1745
FTR UW Equity,Frontier Communications Corp,US,Telecommunication Services,6.715,7.98,-400.591,188.964,3892.519,17639.688,1362.352,716.457,19.5772,90.6591,4622.554,9.924,28.6,6728.9739,2003.009,674.535,8639.619
CLX UN Equity,Clorox Co/The,US,Consumer Staples,106.71,108.64,-370,512,169,4150,832,693,17.8345,42.5493,5523,33,14.217,13808.4704,1161,103,1869
CMS UN Equity,CMS Energy Corp,US,Utilities,37.73,35.13,-290,483,3707,18381,1265,-365,15.9704,46.444,7157,-143,17.496,10419.1001,1811,402,8331
NFG UN Equity,National Fuel Gas Co,US,Utilities,63.43,64.41,-126.642,299.414,2410.683,6728.04,909.39,-5.027,26.9594,71.3292,2113.081,-22.781,20.478,5344.8965,953.454,94.277,1686.157
TRI UN Equity,Thomson Reuters Corp,US,Consumer Discretionary,38.4,39.27,-1041,411,15499,31660,1981,1024,11.1961,#N/A N/A,12674,#N/A N/A,16.337,30567.0234,3254,407,7241
CCE UN Equity,Coca-Cola European Partners PLC,US,Consumer Staples,42.1,46.2,-237,686,1730,9286,827,499,12.4358,35.7424,8371,#N/A N/A,22.028,10177.0185,1349,117,3930
CL UN Equity,Colgate-Palmolive Co,US,Consumer Staples,67.52,70.82,-1342,2116,1746,13685,3231,2487,19.8312,58.5692,17417,-122,17.633,61246.1746,3893,#N/A N/A,4700
BAH UN Equity,Booz Allen Hamilton Holding Corp,US,Information Technology,29.11,29.76,-600.041,230.461,164.322,2829.126,393.638,370.52,8.439,50.6251,5300.12,147.735,21.353,4321.7871,515.214,73.824,1403.717
CMA UN Equity,Comerica Inc,US,Financials,41.5,45.78,-132,554,7433,68887,991,921,32.3065,#N/A N/A,2630,#N/A N/A,28.251,7456.9933,#N/A N/A,98,-5028
AL UN Equity,Air Lease Corp,US,Industrials,34.94,38.24,-11.714,244.714,2695.09,10545.563,732.6,-1739.339,58.4217,#N/A N/A,1007.45,0,28.195,3577.3978,909.885,183.374,6435.964
OGE UN Equity,OGE Energy Corp,US,Utilities,35.18,32.51,-175.8,395,3243,9462.7,733,77.9,21.5535,54.7623,2435.8,17.7,20.872,7012.0456,797.8,147.8,2921.1
CA UW Equity,CA Inc,US,Information Technology,30.3,32.52,-447,812,5743,11372,1137,1073,26.1239,85.1835,4360,46,22.418,13416.9996,1556,#N/A N/A,-1430
CSC UN Equity,Computer Sciences Corp,US,Information Technology,34.8499,40.7309,-122,838,3719,10573,1567,1134,10.7193,29.4003,12874,#N/A N/A,23.463,8524.9706,2420,148,860
CAG UN Equity,ConAgra Foods Inc,US,Consumer Staples,35.43,34.98,-422.2,402.4,5655.1,19501.7,1403.6,996.2,4.6523,22.5603,13806.1,79.7,17.5,15090.238,1133.2,355.1,8356.7
ED UN Equity,Consolidated Edison Inc,US,Utilities,69.28,63.14,-734,1243,12716,40667,2999,255,18.7992,65.9824,12958,-13,16.474,20291.2743,3493,589,12416
SCI UN Equity,Service Corp International/US,US,Consumer Discretionary,22.63,24.85,-67.884,113.992,1365.936,12330.231,315.281,186.699,16.5191,21.4864,2877.797,-10.113,17.361,4698.9768,701.846,173.45,2801.507
ZG UW Equity,Zillow Group Inc,US,Information Technology,30.2237,35.7839,0,-29.998,585.2,649.21,52.119,22.227,-10.5364,91.1254,291.912,-8.563,48.636,3940.754,2.395,#N/A N/A,-366.32
AFG UN Equity,American Financial Group Inc/OH,US,Financials,58.04,63,-167,483,5078,46552,1064,1021,13.5593,#N/A N/A,5546,#N/A N/A,15.286,5100.025,#N/A N/A,70,-248
GLW UN Equity,Corning Inc,US,Information Technology,23.77,24.4,-579,1905,21850,29815,4881,3804,17.039,41.2863,9267,47,23.758,30469.5304,2730,119,-2421
VNTV UN Equity,Vantiv Inc,US,Information Technology,34.39,36.99,0,99.547,1243.224,6273.328,601.656,510.064,12.7182,54.5018,2401.773,-113.294,20.32,6505.6647,524.397,#N/A N/A,3076.174
PVH UN Equity,PVH Corp,US,Consumer Discretionary,110.26,106.53,-12.5,350.039,4583.8,11265.7,681.841,437.393,8.3129,52.5853,8224.619,-24.439,25.791,9091.0326,911.682,157.608,3392.8
CMI UN Equity,Cummins Inc,US,Industrials,139.46,142.23,-485,1639,8097,15644,2144,1476,12.4846,25.2417,18719,-168,28.368,25478.1988,2769,66,-692
