return0,revert1,revert2,revert3,revert4,revert5,revert6,revert7,revert8,revert9,mo1,mo2,mo3,mo4,mo5,mo6,mo7,mo8,mo9,mo10,mo11
4,-34,-406,-229,-116,-958,-84,-958,-744,-1013,35,6,41,68,48,68,68,59,59,24,18
152,92,-186,-141,-80,-1004,-80,-1004,-790,-1059,45,-44,1,22,22,32,22,0,21,-24,20
-107,-232,-478,-232,-180,-1007,-180,-1276,-1062,-1276,131,-37,94,64,135,135,120,105,81,-50,-13
21,-36,-290,-190,-354,-898,-354,-1450,-1236,-1450,46,16,62,155,116,96,80,76,73,27,11
51,14,-292,11,-198,-814,-198,-1343,-1398,-1612,9,6,15,114,15,16,16,16,15,6,0
-46,323,118,226,220,-608,220,-854,-1192,-1406,4,-66,-62,120,151,-80,-30,-40,-55,-59,7
36,364,147,267,561,-8,561,-370,-954,-1168,-5,-52,-57,-140,-140,-130,-129,-75,-51,-46,6
131,213,35,63,725,311,725,-206,-790,-1004,13,-32,-19,-146,-78,22,12,-16,-3,-16,16
-17,253,-25,22,975,285,975,285,-540,-754,0,0,0,-88,-88,0,0,0,0,0,0
108,450,224,370,1056,253,1253,253,366,-207,0,45,45,150,30,89,70,80,50,50,5
-112,165,-62,61,891,374,1403,374,598,226,-27,51,24,-139,-139,-100,-45,-16,-26,1,-50
-23,215,-275,198,434,-309,959,-309,-82,-309,-16,-82,-98,-196,-196,-155,-153,-134,-113,-97,-15
101,-28,-250,-216,300,-362,591,-362,-135,-362,50,0,50,83,37,22,45,54,50,0,0
0,-66,-521,-252,72,-452,291,-452,-225,-452,74,-47,27,-79,-62,-44,36,14,16,-58,-11
26,32,-267,-125,-123,-716,15,-716,-420,-716,27,55,82,93,93,114,114,93,82,55,0
73,489,44,135,507,-241,507,-241,55,-241,1,-4,-3,-100,-94,-110,-109,4,15,14,18
-63,445,240,320,872,124,872,124,420,124,33,0,33,65,35,35,35,33,33,0,0
16,226,-116,142,788,156,788,40,336,40,-9,-49,-58,-58,-58,-71,-29,-67,-58,-49,0
104,63,-159,-89,659,-227,677,-227,115,-227,38,0,38,-90,-5,-5,32,28,28,-10,-10
-47,345,-36,7,545,68,972,68,358,68,0,5,5,-50,-46,-25,-5,0,0,0,-5
-64,167,-117,84,375,-71,919,-71,310,-71,11,20,31,-56,-56,-50,-29,20,31,20,0
-55,185,-187,-129,382,-58,569,-58,226,-58,16,-18,-2,-54,-54,-54,-22,-11,-11,-27,-9
-45,94,-89,-28,286,-270,351,-270,102,-270,0,0,0,-104,-84,-84,-59,-29,-4,-4,-4
-5,196,-347,29,-253,-666,-97,-666,-302,-666,0,0,0,200,200,190,120,0,0,0,0
137,293,2,32,397,-465,397,-465,-101,-465,10,0,10,61,32,46,41,11,11,1,1
114,457,36,110,811,130,811,-51,313,-51,21,-36,-15,349,227,15,13,-23,0,-21,15
33,400,190,209,1185,410,1185,323,687,323,16,-2,14,139,109,89,39,19,16,0,2
1,106,-86,-80,1142,251,1246,251,461,251,8,-25,-17,-62,-62,-62,-70,-35,-27,-35,-10
-111,237,68,131,1035,57,1389,57,249,57,0,-10,-10,21,6,0,0,-7,-7,-7,3
-2,122,-214,28,417,-130,1098,-130,50,-130,18,51,69,10,29,48,52,48,45,27,-24
53,-49,-341,-234,-1,-337,725,-337,-73,-337,16,56,72,-107,-147,-117,-105,8,37,21,-35
-108,200,-12,156,68,-272,363,-272,-4,-272,48,0,48,-48,-16,-16,-14,13,50,2,2
53,20,-300,-63,-80,-552,-80,-552,-284,-552,-39,-14,-53,-366,-343,-263,-263,-215,-67,-28,-14
-101,213,29,59,111,-461,111,-461,-193,-461,17,3,20,2,59,59,59,52,35,18,15
-37,455,149,229,416,-6,416,-258,10,-258,-20,0,-20,79,86,38,26,10,-20,0,0
-100,331,117,307,652,191,652,-61,207,-61,9,-34,-25,-121,-114,-21,-26,-37,-23,-32,2
-51,243,-308,96,555,20,555,20,110,-158,-7,0,-7,112,112,112,78,-15,-15,-8,-8
34,-143,-381,-149,162,-701,162,-701,-283,-701,11,-20,-9,21,18,18,-27,-13,-16,-27,-7
3,15,-239,-71,-174,-732,131,-732,-314,-732,13,36,49,142,142,134,109,85,55,42,6
22,125,-100,-7,94,-653,210,-653,-211,-653,-8,-29,-37,-109,-184,-126,-79,-39,-39,-31,-2
-59,76,-254,0,-76,-534,-76,-854,-412,-854,0,12,12,59,49,29,15,20,20,20,8
60,278,-58,61,267,-170,267,-663,-121,-663,-19,-21,-40,-120,-101,0,93,-25,-19,0,21
9,216,-12,-6,489,101,489,-132,90,-452,71,-97,-26,-165,-165,-88,-88,-60,-6,-77,20
123,-56,-150,-104,417,-84,417,-84,18,-524,67,-50,17,-50,-16,-155,-131,-82,17,-50,0
-269,320,88,150,747,180,747,180,274,-194,16,-51,-35,-320,-265,-220,-54,-7,-35,-51,0
-40,171,-181,-58,299,-87,572,-87,99,-369,-23,10,-13,-129,-125,-85,-74,-35,-28,-5,-15
-113,175,52,73,221,-131,622,-131,149,-319,4,-6,-2,328,17,17,35,-32,-21,-25,-19
-27,147,-85,66,200,-41,281,-109,96,-109,5,62,67,-78,66,65,64,64,66,61,-1
216,-90,-247,-105,5,-280,78,-304,-99,-304,96,-51,45,-80,-80,-80,-80,-22,40,-56,-5
47,78,-652,59,-275,-521,-236,-521,-340,-545,20,3,23,45,45,45,35,36,25,5,2
8,-73,-204,-147,-8,-738,-8,-738,-426,-738,0,-1,-1,-199,-261,-69,14,4,-1,-1,0
46,160,20,59,113,-617,113,-617,-305,-617,0,-3,-3,-14,83,87,74,73,-3,-3,0
63,204,-127,-106,314,-463,314,-463,-151,-463,1,0,1,126,16,16,-1,-1,14,13,13
10,163,-40,73,480,39,480,-297,15,-297,51,-14,37,64,64,64,45,35,35,-16,-2
-3,621,130,281,685,165,685,-92,220,-92,-5,-32,-37,190,165,-39,-65,-39,-39,-34,-2
18,271,-47,-16,765,274,829,274,373,52,-6,-47,-53,-119,-44,-44,-47,-53,-53,-47,0
32,104,-16,52,836,24,900,24,342,24,8,-10,-2,224,249,107,80,67,8,0,10
-14,97,-40,52,835,-17,835,-17,103,-17,-51,4,-47,-41,-19,-18,-21,-19,-19,32,28
30,104,-61,-3,278,-103,772,-103,34,-103,-53,55,2,-112,-84,15,15,6,-12,41,-14
-165,12,-107,-72,40,-167,708,-167,-30,-167,-1,-4,-5,2,-28,-16,-13,-9,-9,-8,-4
-84,176,-170,128,-145,-352,29,-352,-215,-352,22,16,38,37,37,37,8,9,34,12,-4
152,-69,-196,-111,-16,-502,-16,-544,-407,-544,-15,0,-15,0,0,0,0,-15,-15,0,0
171,231,-74,48,155,-313,155,-373,-236,-373,-36,-7,-43,28,27,26,1,-41,-39,-3,4
26,188,-81,50,381,-41,381,-181,-86,-223,-24,-21,-45,-36,-14,-31,-12,-27,-36,-12,9
76,98,-10,49,450,-12,450,-94,-17,-154,-40,66,26,-36,6,-5,9,10,20,60,-6
-51,207,37,112,590,128,590,128,123,-14,13,1,14,48,46,36,25,10,0,-13,-14
44,-107,-325,-198,67,-293,260,-293,-207,-344,6,2,8,-131,-94,-25,21,47,25,19,17
-26,264,-15,60,82,-151,434,-151,-33,-170,-7,0,-7,19,0,-19,-20,-11,-7,0,0
187,81,-106,62,183,-232,183,-232,-72,-232,-23,20,-3,-17,-12,-11,-3,-2,-3,20,0
87,438,-18,27,611,196,611,196,356,196,-4,-3,-7,-71,-62,-4,-8,-6,-9,-5,-2
25,215,38,59,813,184,813,184,600,184,2,-2,0,37,3,3,-2,0,0,-2,0
-10,176,-5,11,855,182,957,182,359,182,1,-17,-16,-6,-10,-6,-6,-10,-6,-7,10
85,124,-51,-36,821,32,994,32,213,32,-10,7,-3,31,31,-369,-301,-51,-11,-1,-8
1,219,-99,18,573,126,1069,126,301,126,53,-57,-4,27,27,27,8,-15,1,-52,5
153,279,-3,55,668,179,1276,179,497,179,-4,-26,-30,54,54,-24,-9,-22,-30,-26,0
-40,166,-93,29,721,139,993,139,421,139,1,21,22,-4,28,58,-31,-1,19,18,-3
85,-66,-295,-186,423,-309,594,-309,-50,-309,0,-13,-13,-50,-20,-20,-20,-20,-13,-13,0
115,5,-260,-38,85,-429,385,-429,-186,-429,18,27,45,60,29,48,48,29,45,27,0
-82,95,-98,55,115,-319,413,-319,-76,-319,-35,-40,-75,-69,-62,-69,-58,-60,-60,-25,15
-37,34,-216,-127,9,-411,89,-425,-182,-425,-30,25,-5,14,-36,-16,-30,-16,-6,24,-1
-45,105,-93,-52,18,-272,18,-441,-198,-441,-12,36,24,-4,-1,-21,28,28,28,40,4
11,-63,-214,-116,-89,-426,-89,-621,-392,-635,-40,60,20,128,-115,124,54,56,-36,4,-56
-15,389,40,215,198,-165,198,-205,-131,-374,-30,3,-27,-54,-23,-35,-43,-35,-20,10,7
-34,142,-43,-21,449,34,449,-105,-71,-314,-3,-23,-26,74,-21,-30,5,-10,-13,-10,13
-17,195,32,42,549,57,549,-5,29,-214,-3,15,12,75,-16,25,27,25,22,25,10
-90,364,12,27,796,279,796,279,276,33,-2,-29,-31,11,3,1,-28,-68,-30,-28,1
18,224,-60,139,462,-15,769,-15,249,-15,-9,9,0,23,23,0,-5,6,0,9,0
12,28,-122,-54,370,-105,724,-105,179,-105,-40,-15,-55,-50,-50,-52,-54,-50,-40,0,15
-7,244,6,37,382,-32,507,-32,118,-32,0,0,0,-9,-9,0,14,5,0,0,0
4,249,-71,-1,435,134,626,134,284,134,-19,-34,-53,-71,-43,-33,-44,-58,-58,-39,-5
-72,91,-44,32,449,-32,587,-32,288,-32,1,-11,-10,174,-28,-28,0,-2,0,-1,10
65,144,-98,54,353,-140,378,-140,-5,-140,-40,44,4,-51,-1,4,4,4,4,44,0
35,-19,-146,-91,155,-177,316,-177,-42,-177,-64,50,-14,82,-1,9,-3,-36,-3,61,11
19,148,-198,-117,157,-127,366,-127,8,-127,0,-38,-38,-80,-80,-75,62,-58,-38,-38,0
26,-5,-114,-23,101,-254,149,-254,-48,-254,0,-18,-18,52,-23,-23,-23,6,-14,-14,4
51,108,-230,32,-14,-360,-5,-360,-154,-360,-10,8,-2,-20,0,10,-20,-10,-10,0,-8
-18,82,-328,-10,-132,-600,-132,-600,-394,-600,0,54,54,-10,35,35,54,60,54,54,0
206,25,-158,-83,22,-530,22,-660,-454,-660,0,0,0,-26,0,0,0,0,0,0,0
-39,103,-155,-1,121,-434,121,-564,-358,-564,-42,46,4,8,36,-3,-4,8,4,46,0
145,169,-79,2,119,-294,119,-436,-360,-566,-1,18,17,-95,18,92,66,0,17,18,0
16,526,-171,-154,636,310,636,31,107,-99,-23,-59,-82,56,-15,-85,-94,-85,-79,-56,3
-77,78,-99,44,716,-91,716,-91,210,-91,-8,8,0,39,11,-11,28,11,3,11,3
-83,92,-66,40,676,-139,676,-139,38,-139,-18,-15,-33,249,2,1,1,-25,-32,-14,1
-207,-48,-294,-199,311,-394,421,-394,-217,-394,29,29,58,257,83,134,46,46,58,29,0
-1,79,-285,50,-314,-660,155,-660,-483,-660,42,43,85,120,120,120,120,100,92,50,7
-129,92,-91,0,47,-619,47,-692,-515,-692,0,33,33,-82,0,0,0,0,33,33,0
-96,14,-228,-103,-98,-782,-98,-882,-705,-882,0,19,19,17,53,14,8,11,9,9,-10
-31,125,-83,-4,-39,-560,-39,-862,-758,-935,0,0,0,166,18,79,5,5,5,5,5
-137,-36,-165,-55,40,-419,40,-920,-843,-1020,4,5,9,40,40,20,-40,20,9,5,0
-92,227,-39,146,19,-387,19,-666,-864,-1041,12,19,31,132,124,98,47,42,31,19,0
-73,-59,-354,-228,-8,-424,-8,-675,-1099,-1276,0,27,27,-56,-56,-21,-17,53,44,44,17
128,-83,-233,-133,-225,-638,-225,-839,-1316,-1493,21,77,98,147,110,147,131,97,96,75,-2
63,-8,-218,-26,-142,-630,-142,-700,-1321,-1479,-1,-4,-5,88,-12,-12,-12,-12,-11,-10,-6
-44,219,2,116,198,-424,198,-491,-1000,-1246,-4,-10,-14,14,22,-10,-10,0,-10,-6,4
20,-119,-432,-140,-183,-488,-183,-826,-1009,-1373,4,84,88,-20,-20,24,24,12,42,38,-46
82,-305,-484,-440,-515,-828,-515,-1222,-1360,-1543,40,30,70,-5,-50,-29,-5,58,86,46,16
-91,-36,-374,-215,-501,-1024,-501,-1080,-1444,-1686,10,-1,9,155,155,199,65,19,4,-6,-5
19,-200,-545,-220,-436,-1424,-436,-1424,-1756,-1888,70,150,220,482,491,497,280,248,220,150,0
135,449,-140,-33,160,-720,160,-1064,-1396,-1525,20,-30,-10,105,-20,12,14,0,0,-20,10
-22,327,-189,-46,695,-168,695,-818,-917,-1212,-12,-38,-50,-67,-94,-94,-86,-65,-46,-34,4
-36,70,-251,-134,699,-185,699,-470,-913,-1208,10,-1,9,30,30,30,30,-1,0,-10,-9
44,321,87,201,916,-34,916,-34,-503,-653,5,-23,-18,-43,127,-73,-73,-43,-28,-33,-10
58,-265,-424,-387,224,-358,592,-358,-693,-921,-8,0,-8,-157,-30,-77,2,-7,-7,1,1
46,-150,-351,-172,-262,-683,333,-683,-931,-1180,-11,-2,-13,-50,-164,-136,-118,-56,-46,-35,-33
75,227,-232,-146,36,-497,151,-497,-681,-994,28,0,28,85,75,68,68,31,28,0,0
-6,114,-345,100,257,-467,257,-467,-441,-620,15,5,20,-86,-40,-40,-26,33,20,5,0
-43,-24,-335,-200,89,-513,89,-635,-476,-635,47,-15,32,87,89,87,97,82,59,12,27
93,155,-80,89,137,-465,137,-587,-428,-587,45,-11,34,40,30,40,40,40,30,-15,-4
-33,423,134,231,486,-134,486,-134,-97,-256,-11,-18,-29,21,-19,-19,-29,-29,-29,-18,0
38,80,-210,54,295,-147,295,-325,-288,-447,-70,0,-70,-170,-148,-110,-107,-82,-70,0,0
-76,399,77,194,515,10,515,-105,-68,-227,8,-5,3,0,0,0,0,0,0,-8,-3
94,88,-204,-97,408,-34,471,-34,-112,-271,33,-51,-18,-94,56,36,46,36,-6,-39,12
-72,59,-125,-81,405,-154,521,-154,-62,-221,30,-30,0,18,18,6,6,-4,6,-24,6
-184,185,-93,-38,384,-175,437,-175,38,-175,-4,7,3,-83,-83,-83,-76,-8,-4,0,-7
122,160,-153,-78,40,-320,239,-320,-107,-320,-2,-46,-48,-93,-191,-146,-48,-48,-48,-46,0
137,497,34,66,654,203,733,174,387,174,-59,5,-54,-66,-66,6,34,-65,-53,6,1
-51,218,-22,31,886,266,886,266,619,266,-10,-3,-13,-137,-121,-109,-37,-32,-17,-7,-4
82,293,17,185,906,-2,906,-2,238,-2,10,-30,-20,-314,-314,-213,-143,-89,-34,-44,-14
-24,188,-70,67,873,122,1030,122,362,122,0,-65,-65,-277,-133,-133,-118,-85,-85,-85,-20
125,-40,-310,-53,184,-303,797,-303,-45,-303,23,-23,0,-23,0,0,0,0,0,-23,0
-150,9,-260,-39,179,-315,635,-315,-50,-315,-30,-70,-100,-217,-208,-178,-128,-128,-98,-68,2
-8,139,-162,24,-37,-361,133,-361,-96,-361,0,46,46,96,93,76,96,76,46,46,0
-150,18,-167,-22,43,-457,43,-457,-192,-457,-107,55,-52,93,43,-106,-70,-70,-33,74,19
-88,764,302,646,563,118,563,63,328,63,-22,-50,-72,50,-50,-170,0,-246,-72,-50,0
126,129,-399,59,414,-88,414,-287,-22,-287,-17,-3,-20,-250,-200,-144,-83,-30,-20,-3,0
52,113,-98,76,453,-360,453,-360,17,-360,-50,47,-3,-61,-50,-48,-37,-24,-11,39,-8
126,39,-211,-108,418,-395,418,-395,-18,-395,0,-30,-30,-194,-178,-96,-26,-26,-26,-26,4
