"carat","cut","color","clarity","table","depth","cert","measurements_1","measurements_2","measurements_3","price"
0.35,"Ideal","H","SI1",58,61.4,"GIA",4.54,4.55,2.79,780
0.8,"V.Good","F","VS1",56,62.8,"GIA",5.84,5.93,3.68,3740
0.28,"Ideal","E","VS1",58,61.3,"GIA",4.19,4.23,2.58,750
0.6,"V.Good","F","SI2",58,64.2,"GIA",5.25,5.27,3.38,1415
0.9,"V.Good","E","VS1",59,62.2,"GIA",6.16,6.11,3.82,6210
2.16,"V.Good","I","VVS2",61,59.2,"GIA",8.46,8.49,5.01,24266
0.34,"Ideal","D","SI2",58,61.6,"GIA",4.48,4.51,2.77,549
0.58,"Ideal","F","VS2",56,62.6,"GIA",5.36,5.32,3.34,2190
0.4,"Ideal","H","VVS1",61,60.5,"GIA",4.79,4.76,2.89,1230
1.73,"Ideal","H","SI2",57,61.4,"GIA",7.71,7.75,4.75,12162
1.02,"Ideal","I","SI2",60,59.2,"IGI",6.54,6.57,3.88,3410
0.3,"V.Good","E","VS2",59,61.8,"GIA",4.3,4.25,2.64,800
1.01,"Ideal","E","SI1",60,60.8,"GIA",6.46,6.43,3.92,6547
0.3,"Ideal","E","SI2",61.9,61.9,"GIA",4.31,4.29,2.66,690
0.4,"Good","G","VS1",54,64.3,"GIA",4.58,4.62,2.96,1150
0.3,"Good","F","SI1",61,66.2,"GIA",4.09,4.12,2.72,399
0.3,"V.Good","G","SI1",63.5,63.5,"GIA",4.27,4.24,2.7,730
0.35,"Ideal","I","IF",58,61.4,"GIA",4.53,4.55,2.79,900
0.5,"Ideal","E","VS1",55,62.3,"GIA",5.1,5.12,3.18,2020
1.01,"Ideal","K","VVS2",60,61,"GIA",6.49,6.45,3.95,3900
1.25,"Ideal","H","VS2",57,62.3,"GIA",6.92,6.86,4.3,8350
0.5,"Ideal","I","VS2",58,61.1,"GIA",5.11,5.12,3.13,1249
0.4,"Ideal","E","VS2",57,61.8,"GIA",4.75,4.72,2.93,868
0.31,"Ideal","F","VS1",61,59.6,"GIA",4.38,4.42,2.62,830
0.46,"Ideal","E","VS1",56,62.9,"GIA",4.9,4.92,3.09,1397
0.61,"V.Good","G","SI1",58,59.4,"GIA",5.54,5.58,3.3,1831
1.22,"Ideal","I","SI1",55,62.9,"GIA",6.83,6.85,4.3,5915
2.01,"Ideal","I","SI1",57,62.4,"GIA",7.98,8.09,5.01,15247
0.33,"Ideal","L","VS1",58,61.9,"GIA",4.41,4.43,2.74,670
0.73,"Ideal","F","VVS2",59,60.5,"GIA",5.81,5.83,3.52,3610
2.13,"Ideal","H","VS1",60,60.1,"GIA",8.33,8.3,5,25456
0.4,"V.Good","D","VVS1",63,58.3,"GIA",4.81,4.84,2.81,1350
2.63,"Ideal","F","VS2",56,62.1,"GIA",8.84,8.81,5.48,46399
0.3,"Ideal","E","VS2",56,62.2,"GIA",4.33,4.36,2.7,610
2,"V.Good","J","SI1",57,63.9,"GIA",7.95,7.89,5.06,12503
2.01,"Good","I","VS1",61,64.3,"GIA",7.85,7.83,5.04,15597
0.5,"V.Good","D","VS2",55,63.9,"GIA",4.97,5.01,3.19,1914
0.3,"Ideal","F","SI2",57,62,"GIA",4.33,4.32,2.68,760
0.3,"V.Good","G","VS1",58,64.2,"GIA",4.18,4.2,2.69,561
1.51,"Good","K","SI1",66,60,"GIA",7.33,7.26,4.38,5250
0.51,"Ideal","D","VS1",60,59.4,"GIA",5.25,5.26,3.12,2964
1.01,"Ideal","E","VS1",59,61.8,"GIA",6.45,6.41,3.98,8310
0.5,"Ideal","I","SI2",55,62.7,"GIA",5.08,5.04,3.17,998
0.52,"Ideal","F","VS2",57,62.4,"GIA",5.13,5.14,3.2,1770
1.31,"Ideal","H","SI2",57,62.3,"GIA",6.98,6.96,4.34,7750
0.32,"Ideal","I","SI1",57,61.8,"IGI",4.39,4.41,2.72,710
0.36,"Ideal","F","SI1",57,60.2,"GIA",4.66,4.64,2.8,910
0.23,"Ideal","F","IF",57,60.4,"GIA",3.97,3.99,2.4,529
0.3,"Good","H","SI1",60,63,"GIA",4.2,4.25,2.66,447
1.53,"Ideal","L","VVS2",58,61.4,"GIA",7,7.43,4.56,7140
0.51,"V.Good","G","VVS2",58,64.1,"GIA",5,5.02,3.21,1713
0.82,"Ideal","E","SI2",56,62.4,"GIA",6.01,5.99,3.75,2922
0.45,"Ideal","E","VS1",56,62,"GIA",4.92,4.94,3.06,1560
0.3,"V.Good","D","VVS2",58,62.6,"GIA",4.24,4.29,2.67,671
1,"Good","E","SI2",58,64.3,"GIA",6.19,6.23,3.99,5093
0.58,"Ideal","G","VS1",55,61.7,"GIA",5.37,5.34,3.3,2010
0.4,"Ideal","E","VVS2",56,62.4,"GIA",4.7,4.73,2.94,1003
0.31,"Ideal","F","VS1",61,58.8,"GIA",4.45,4.43,2.61,643
2.21,"V.Good","K","VS2",59,60.5,"HRD",8.35,8.43,5.09,11377
0.3,"Ideal","H","SI2",61,60.9,"GIA",4.3,4.33,2.63,398
0.71,"Ideal","E","VS1",55,62.7,"GIA",5.69,5.71,3.57,3070
0.34,"Ideal","G","SI2",59,61.1,"GIA",4.49,4.5,2.75,770
1.71,"Ideal","D","SI1",58,61.4,"EGL USA",7.74,7.69,4.74,14300
0.33,"Ideal","E","IF",59,60.3,"GIA",4.46,4.49,2.7,818
0.3,"Ideal","H","VVS2",57,62.4,"GIA",4.32,4.3,2.69,810
0.32,"Ideal","D","SI2",60,60,"GIA",4.45,4.47,2.68,770
1,"V.Good","K","VVS2",60,61.7,"GIA",6.38,6.35,3.93,5170
1.04,"Ideal","G","SI2",61,61,"GIA",6.53,6.51,3.97,5350
0.78,"V.Good","H","VVS1",59,59,"GIA",6.03,5.99,3.55,3970
0.8,"Ideal","I","SI2",58,61,"GIA",5.97,6,3.66,2220
0.3,"Ideal","E","VVS2",57,62.7,"GIA",4.31,4.28,2.69,890
0.51,"Ideal","E","VVS2",58,61.7,"GIA",5.14,5.15,3.17,1837
0.31,"Ideal","D","VVS2",54,61.9,"GIA",4.39,4.38,2.72,738
0.3,"Good","F","SI2",64,64,"GIA",4.22,4.2,2.69,474
0.41,"V.Good","E","I2",61,62.2,"GIA",4.74,4.76,2.96,630
1.01,"Ideal","F","SI1",58,61.7,"GIA",6.45,6.41,3.97,7010
0.3,"Ideal","E","VS2",58,60.8,"GIA",4.32,4.35,2.64,810
1.51,"V.Good","H","SI1",59,64.4,"GIA",7.18,7.21,4.64,10430
0.71,"Ideal","I","VS1",57,63,"GIA",5.68,5.71,3.59,2358
0.3,"V.Good","E","SI1",58,62.8,"GIA",4.26,4.25,2.67,800
0.46,"Ideal","G","SI2",58,61.8,"GIA",4.96,4.95,3.06,1076
0.7,"V.Good","E","VS1",56,63.2,"GIA",5.62,5.65,3.56,3350
0.41,"Ideal","F","VVS2",59,61.6,"GIA",4.8,4.78,2.95,1286
0.35,"Ideal","D","SI1",58,61.8,"GIA",4.51,4.53,2.79,624
0.56,"Ideal","K","VVS1",61,61.1,"IGI",5.29,5.35,3.24,1300
0.8,"V.Good","D","SI1",60,58.9,"GIA",6.08,6.06,3.58,3720
1.52,"Ideal","E","VVS2",58,60.4,"GIA",7.45,7.48,4.51,21736
1.6,"Ideal","H","VS2",57,60.4,"EGL USA",7.54,7.58,4.57,8368
0.5,"Good","I","VS1",59,62.9,"GIA",4.95,4.99,3.12,1390
0.8,"V.Good","G","SI2",57,64.4,"GIA",5.8,5.85,3.76,2678
1.09,"Ideal","H","IF",61,59.3,"GIA",6.74,6.7,3.99,7655
0.45,"V.Good","F","I1",60,63.1,"GIA",4.83,4.86,3.06,720
0.26,"Ideal","D","VS2",56,62.3,"GIA",4.1,4.11,2.56,463
0.35,"Ideal","G","SI2",59,60.4,"GIA",4.56,4.54,2.75,539
0.3,"Ideal","E","VVS1",57,62.4,"GIA",4.27,4.29,2.67,950
1.5,"Ideal","D","VS2",59,61.4,"GIA",7.31,7.35,4.5,18550
1,"V.Good","F","VS2",57,63.1,"GIA",6.36,6.34,4.01,6539
0.51,"Ideal","E","VS2",62.4,62.4,"GIA",5.12,5.09,3.18,2010
0.5,"V.Good","F","VVS2",57,63.7,"GIA",5.05,4.99,3.2,1955
1.03,"V.Good","J","IF",61,62.4,"GIA",6.39,6.48,4.02,4946
0.3,"Ideal","D","SI2",57,62.5,"GIA",4.28,4.31,2.69,512
0.31,"Ideal","E","VVS2",56,62.3,"GIA",4.3,4.34,2.69,654
1.54,"Ideal","G","VS2",55,62.9,"GIA",7.38,7.41,4.65,12907
0.3,"V.Good","G","VS2",57,62.1,"GIA",4.25,4.22,2.63,760
0.5,"V.Good","F","SI1",57,64.6,"GIA",4.98,4.96,3.21,1294
2.1,"Ideal","I","VS1",60,61.8,"HRD",8.22,8.18,5.07,16010
0.51,"Ideal","H","SI2",56,62,"GIA",5.11,5.14,3.18,1250
1.02,"V.Good","J","SI1",60,61,"GIA",6.47,6.52,3.96,5100
0.74,"Ideal","E","VVS2",58,62,"GIA",5.77,5.8,3.59,4070
3.16,"Ideal","K","SI1",57,62.5,"GIA",9.37,9.4,5.87,22985
0.3,"V.Good","G","SI1",55,64.2,"GIA",4.22,4.15,2.69,462
0.5,"V.Good","G","VS1",59,64.2,"GIA",4.98,4.97,3.19,2120
0.5,"V.Good","D","VS2",56,62.3,"GIA",5.05,5.09,3.16,1636
1,"Ideal","H","SI1",54,63.4,"GIA",6.36,6.28,4.01,5140
0.3,"Ideal","D","VS1",61,60.3,"GIA",4.34,4.36,2.62,602
0.36,"Ideal","I","SI1",56,62.2,"GIA",4.56,4.53,2.83,740
0.81,"Ideal","K","VS2",57,62.4,"GIA",5.98,5.96,3.72,1800
1.32,"V.Good","L","SI1",57.5,64.8,"IGI",6.83,6.86,4.43,4120
1.32,"Ideal","H","VVS2",59,61.1,"GIA",7.04,7.07,4.31,9238
0.3,"Ideal","G","SI2",58,61.7,"GIA",4.3,4.27,2.64,426
0.6,"Ideal","J","SI2",57,62.8,"GIA",5.37,5.39,3.38,1370
0.51,"Ideal","I","SI2",59.5,59.4,"IGI",5.19,5.2,3.09,1090
0.43,"Ideal","E","IF",57,62.2,"GIA",4.82,4.84,3,1338
0.4,"V.Good","J","SI1",58,63.9,"GIA",4.66,4.68,2.98,671
2.01,"Good","G","VS2",59,60.2,"GIA",8.02,8.09,4.85,21900
0.5,"Ideal","I","I1",0.6,0.6,"IGI",5.09,5.11,3.11,680
0.3,"Ideal","D","VS2",59,60.9,"GIA",4.33,4.36,2.64,810
0.21,"Ideal","D","VVS2",59.5,61.6,"IGI",3.84,3.87,2.38,540
0.41,"Ideal","G","SI2",59,61.7,"GIA",4.77,4.8,2.95,659
1.3,"Ideal","H","SI2",57,62.5,"GIA",6.91,7.01,4.35,6168
1.57,"Ideal","K","VS1",55,62.5,"GIA",7.44,7.46,4.66,7900
0.4,"Ideal","F","SI1",58,62.5,"GIA",4.7,4.68,2.93,1100
0.62,"Ideal","E","SI1",57,62.4,"GIA",5.46,5.43,3.4,2177
1,"Ideal","D","VS1",62.9,62.9,"GIA",6.38,6.34,4,9070
0.31,"Ideal","H","SI2",61,59.2,"GIA",4.43,4.4,2.61,780
1.2,"Ideal","E","VS1",56,61.5,"GIA",6.81,6.87,4.21,10200
0.2,"Ideal","D","VVS1",58,61.3,"GIA",3.76,3.79,2.31,421
1,"Good","F","VVS2",60,63.5,"GIA",6.24,6.3,3.98,7360
0.4,"Ideal","F","VVS1",56,61.4,"GIA",4.75,4.78,2.93,1142
0.24,"Ideal","D","VS2",55,62.3,"GIA",4.02,4,2.5,640
0.33,"Ideal","F","VS1",60,60.8,"GIA",4.48,4.44,2.71,670
0.51,"V.Good","H","VVS2",61,62.5,"GIA",5.03,5.09,3.16,1534
0.3,"V.Good","E","VS2",56,63,"GIA",4.26,4.22,2.67,501
0.5,"Good","E","SI1",59,65.8,"GIA",4.9,4.98,3.25,1168
0.56,"Ideal","D","VVS1",59,62.5,"GIA",5.23,5.27,3.28,3080
1.35,"Ideal","F","VS2",57,61.9,"GIA",7.07,7.1,4.38,12877
1,"V.Good","E","VVS2",57.5,65.3,"IGI",6.16,6.24,4.06,6975
0.4,"Ideal","F","SI1",60,59,"GIA",4.85,4.82,2.85,766
0.31,"V.Good","D","SI1",64,58,"GIA",4.41,4.44,2.57,570
2.7,"Ideal","L","VS2",59,60.4,"GIA",8.97,9.03,5.44,15947
0.73,"Ideal","H","SI1",58,60.2,"GIA",5.83,5.85,3.52,2375
0.33,"Ideal","G","SI1",60,60.3,"GIA",4.48,4.46,2.7,571
0.9,"Good","G","VVS2",61,61,"GIA",6.13,6.17,3.75,4686
1.29,"Ideal","I","VVS2",58,62.1,"GIA",6.91,6.96,4.31,7207
1.01,"Ideal","J","VVS1",58,61.4,"GIA",6.46,6.49,3.98,4929
0.3,"V.Good","D","VS1",55,63.3,"GIA",4.24,4.22,2.68,605
0.5,"Ideal","G","VS1",59,60.3,"GIA",5.17,5.14,3.11,1910
1.83,"Ideal","G","SI1",60,60.2,"EGLUS",7.93,7.88,4.76,12786
0.7,"Ideal","J","SI1",54,62.1,"GIA",5.69,5.71,3.54,1807
0.7,"V.Good","F","SI2",56,64.6,"GIA",5.51,5.54,3.57,2147
3.26,"Ideal","F","VS1",56,62.5,"GIA",9.42,9.48,5.9,84630
1.21,"Ideal","I","SI2",55,62.2,"GIA",6.87,6.83,4.26,6280
2.02,"V.Good","K","SI2",58,61.7,"GIA",8.05,7.99,4.95,9834
1,"Ideal","G","VVS1",58,60,"GIA",6.49,6.53,3.91,8165
0.32,"Ideal","F","VVS2",56,61.7,"GIA",4.42,4.39,2.72,914
1.27,"Good","L","VVS2",59,62.7,"GIA",6.89,6.87,4.31,4404
0.3,"Ideal","D","VS2",60,60.5,"GIA",4.35,4.31,2.62,920
1.01,"Ideal","I","SI2",60,61.1,"GIA",6.41,6.46,3.93,4260
0.4,"Ideal","J","VS2",62,59.4,"IGI",4.77,4.81,2.84,830
0.4,"Good","F","SI1",60,66.1,"GIA",4.54,4.54,3,990
0.32,"Ideal","F","SI1",58,62.2,"GIA",4.38,4.36,2.72,850
0.3,"V.Good","F","SI2",61,60.5,"GIA",4.3,4.28,2.59,426
0.4,"Ideal","I","SI2",0.6,0.6,"IGI",4.7,4.73,2.92,518
0.5,"Ideal","D","VS2",57,60.9,"GIA",5.17,5.15,3.14,1937
0.36,"Ideal","J","SI2",55,62.6,"GIA",4.59,4.55,2.86,640
2.01,"Ideal","K","SI1",58,62.3,"GIA",8.02,8.09,5.02,11500
0.2,"Ideal","E","VVS1",59,60.5,"GIA",3.77,3.79,2.29,713
0.35,"Ideal","J","SI1",59.5,2.7,"IGI",4.5,4.52,61.1,453
0.5,"Ideal","F","SI1",59,62.2,"GIA",5.11,5.04,3.16,1570
1.02,"Ideal","D","VS1",59,60.5,"GIA",6.51,6.53,3.94,9749
1.02,"Ideal","H","VS2",59,61.1,"GIA",6.53,6.48,3.98,6865
0.43,"Ideal","F","VS2",54,61.6,"GIA",4.85,4.87,2.99,985
0.5,"Ideal","F","VS2",55,61.5,"GIA",5.13,5.15,3.16,2080
0.3,"V.Good","F","SI1",60,63.2,"GIA",4.28,4.24,2.69,499
1.14,"V.Good","I","VVS2",60,62.3,"GIA",6.7,6.65,4.16,5412
0.35,"V.Good","D","VS1",57,64,"GIA",4.49,4.46,2.86,960
0.42,"V.Good","I","SI2",56,63,"GIA",4.73,4.71,2.98,660
0.31,"Ideal","F","VS2",57,61.6,"GIA",4.38,4.37,2.7,850
0.35,"V.Good","F","SI2",59,60.4,"GIA",4.58,4.56,2.76,550
0.7,"Ideal","I","SI1",55,62.6,"GIA",5.7,5.66,3.56,2013
0.46,"V.Good","D","SI1",56,64,"GIA",4.84,4.9,3.12,1440
0.46,"Ideal","F","SI1",60,60.5,"GIA",5,4.98,3.02,1140
0.3,"V.Good","D","SI1",59,61.8,"GIA",4.26,4.28,2.64,506
1.5,"V.Good","H","SI1",61,61.7,"GIA",7.27,7.3,4.49,9560
0.3,"V.Good","E","SI2",60,63,"GIA",4.22,4.2,2.65,750
2.05,"Ideal","H","VVS2",58,62.2,"GIA",8.16,8.12,5.06,23750
0.41,"Ideal","D","I1",59,61.2,"GIA",4.79,4.8,2.93,799
1.3,"Ideal","K","SI1",58,62.2,"GIA",7,6.91,4.33,4320
0.7,"V.Good","D","SI2",57,64.1,"GIA",5.56,5.61,3.58,2210
0.4,"V.Good","I","VVS2",55,63,"GIA",4.74,4.72,2.98,1000
0.46,"Ideal","G","SI2",59,60.7,"GIA",4.98,4.96,3.02,1030
1.5,"Ideal","G","VS2",59,61.5,"GIA",7.37,7.29,4.51,12480
1.44,"Ideal","K","VVS2",57,61.2,"GIA",7.25,7.3,4.45,7821
0.4,"Ideal","D","VS2",57,62.9,"GIA",4.68,4.7,2.95,1320
0.4,"V.Good","G","VS1",55,64.3,"GIA",4.62,4.64,2.98,1180
0.46,"Good","E","VVS2",60,63.6,"GIA",4.85,4.81,3.07,1400
0.5,"Ideal","J","SI1",58,62,"GIA",5.1,5.06,3.15,1330
0.46,"Ideal","D","VS2",60,59.9,"GIA",5.04,5.02,3.01,1730
0.6,"Ideal","E","SI2",56,63,"GIA",5.34,5.35,3.37,1635
0.23,"Ideal","D","VVS1",61,61,"GIA",3.97,3.95,2.42,507
0.3,"V.Good","D","VVS1",61,63.1,"GIA",4.26,4.22,2.67,950
1.02,"Ideal","H","SI2",57,62.5,"GIA",6.4,6.44,4.01,4180
0.5,"Good","E","VS2",59,63.6,"GIA",5.02,5.06,3.21,1940
0.3,"V.Good","D","VS1",55,64.2,"GIA",4.22,4.19,2.7,642
1.12,"Ideal","F","SI1",58,62.4,"GIA",6.61,6.65,4.14,7660
0.91,"V.Good","J","VVS2",58,59.5,"GIA",6.36,6.35,3.78,3670
0.5,"V.Good","G","VS2",58,63.8,"GIA",4.97,5,3.18,1565
0.72,"Ideal","D","SI1",58,62.7,"GIA",5.68,5.71,3.57,2752
0.8,"Ideal","G","SI2",62,57.8,"GIA",6.12,6.14,3.54,2632
0.3,"Good","H","SI2",58,57.6,"GIA",4.41,4.38,2.53,380
1.07,"Ideal","J","VVS2",58,62.5,"GIA",6.53,6.52,4.07,5181
0.3,"Ideal","E","VVS2",60,59.5,"GIA",4.36,4.38,2.6,676
2.02,"V.Good","I","VS2",56,63.8,"GIA",7.93,7.98,5.08,17150
1.53,"Ideal","G","SI2",60,61.3,"HRD",7.41,7.35,4.53,8100
0.4,"Ideal","F","SI1",59,61.9,"GIA",4.71,4.74,2.93,712
1.01,"Ideal","D","SI1",60,61.3,"GIA",6.45,6.47,3.96,6355
0.3,"Good","I","VS2",59,63.8,"GIA",4.19,4.22,2.69,434
0.4,"Ideal","E","VS1",60,61.2,"GIA",4.75,4.71,2.9,1064
1.07,"Ideal","H","VS1",57,62.5,"GIA",6.52,6.5,4.07,6930
1.02,"Ideal","H","IF",62,61.4,"GIA",6.46,6.42,3.95,7050
0.32,"Ideal","G","SI2",58,62.3,"GIA",4.36,4.37,2.72,740
0.31,"Ideal","F","VS2",57,62.2,"GIA",4.32,4.35,2.7,921
0.41,"Ideal","I","SI1",57,61.1,"GIA",4.77,4.79,2.92,657
0.28,"Ideal","F","VVS1",58.5,61.4,"IGI",4.17,4.2,2.57,820
0.34,"Ideal","I","VS2",0.6,0.6,"IGI",4.51,4.54,2.74,730
0.36,"Ideal","D","VS1",58,60.8,"GIA",4.6,4.58,2.79,1080
0.65,"Ideal","E","VS2",55,62.7,"GIA",5.56,5.55,3.48,2620
0.6,"Ideal","D","VVS2",60,62,"GIA",5.43,5.38,3.35,3090
0.55,"Ideal","I","VVS1",56,61.9,"GIA",5.26,5.28,3.26,1585
1,"Ideal","F","VS2",58,62.2,"GIA",6.32,6.38,3.95,6599
1,"V.Good","G","SI1",60,63.4,"GIA",6.32,6.3,4,5290
2,"Good","H","VS1",58,65.6,"HRD",7.85,7.76,5.12,22850
0.63,"Ideal","F","VVS2",57,62.4,"GIA",5.48,5.47,3.42,2534
0.3,"V.Good","H","SI1",62,63.5,"GIA",4.22,4.23,2.68,453
0.33,"Ideal","H","VS1",54,62.7,"GIA",4.41,4.43,2.77,544
0.4,"Ideal","D","VVS2",58,61.8,"GIA",4.73,4.75,2.93,1315
0.3,"Ideal","E","VS2",58,61.8,"GIA",4.31,4.33,2.67,600
0.43,"Good","J","VVS2",61,63.6,"HRD",4.68,4.75,3.01,969
0.9,"Good","I","VS2",58,64.8,"GIA",5.99,6.02,3.89,3080
0.61,"Ideal","H","VS1",60,61.3,"GIA",5.45,5.44,3.34,2176
2.01,"Ideal","D","VS2",60,60.7,"GIA",8.07,8.14,4.92,40410
0.6,"Ideal","G","SI1",56,62.5,"GIA",5.39,5.36,3.36,1760
0.4,"V.Good","E","VS1",59,61.9,"GIA",4.69,4.66,2.89,1088
0.3,"Ideal","D","IF",57,62.4,"GIA",4.3,4.31,2.69,1069
2,"Ideal","J","SI1",58,62.5,"GIA",8,8.05,5.01,13733
0.37,"Ideal","D","SI2",58,60.2,"GIA",4.66,4.68,2.81,790
0.5,"V.Good","G","VS2",61,62.7,"GIA",5.01,5.03,3.15,1377
0.52,"V.Good","D","VS1",57,64.2,"GIA",5,5.02,3.22,2000
0.84,"V.Good","J","SI2",61,61,"GIA",6.01,6.05,3.68,1990
1,"Ideal","K","SI1",55,62.9,"GIA",6.33,6.38,4,3852
2,"Ideal","I","VS1",56.5,62.4,"IGI",8.03,8.09,5.03,15882
0.4,"Ideal","E","VS1",61,59.2,"GIA",4.83,4.81,2.85,1240
0.42,"Ideal","D","VVS1",56,62,"GIA",4.8,4.82,2.98,1570
0.6,"V.Good","F","SI1",57,62.6,"IGI",5.33,5.37,3.35,1637
0.36,"Ideal","D","SI1",61,60.1,"GIA",4.6,4.63,2.77,536
0.5,"Ideal","H","VS1",60,61.4,"GIA",5.1,5.08,3.13,1826
0.7,"V.Good","E","SI1",54,64.4,"GIA",5.6,5.64,3.62,3072
1.51,"Ideal","I","SI1",55,61.9,"GIA",7.39,7.43,4.59,11244
0.46,"Good","E","VVS2",59,63.7,"GIA",4.8,4.84,3.08,1340
1.56,"Ideal","H","VVS2",55,62.3,"GIA",7.41,7.44,4.63,16440
1.01,"Ideal","H","SI2",57,62.6,"GIA",6.37,6.4,4,4215
0.9,"V.Good","E","VS1",59,62.1,"GIA",6.15,6.09,3.8,6452
1.25,"V.Good","I","SI1",58,62.3,"GIA",6.87,6.94,4.3,6490
0.5,"Ideal","F","VS2",56,62.1,"GIA",5.1,5.06,3.16,1840
0.5,"Ideal","D","VS2",55,62.5,"GIA",5.09,5.07,3.17,1956
1.51,"Ideal","I","VVS2",57,62,"GIA",7.33,7.34,4.55,11603
1.5,"Ideal","G","SI1",59,61.5,"GIA",7.38,7.36,4.53,11052
1,"V.Good","D","IF",55,64.8,"GIA",6.23,6.18,4.02,14200
0.5,"V.Good","F","VS2",57,63.5,"GIA",4.97,5.01,3.17,1820
0.32,"Ideal","E","VVS2",59,61.7,"GIA",4.39,4.42,2.72,940
0.4,"Ideal","E","VS1",58,60.8,"GIA",4.78,4.76,2.9,1210
0.31,"Ideal","D","SI2",57,62.3,"GIA",4.35,4.33,2.71,558
1.12,"Ideal","D","VVS1",58,61.4,"GIA",6.65,6.68,4.09,17193
1.67,"V.Good","F","SI2",56,63.6,"EGL USA",7.54,7.49,4.78,7770
1.21,"Ideal","F","SI2",60,60.5,"GIA",6.86,6.84,4.15,6075
0.9,"Ideal","H","SI1",57,61.9,"GIA",6.15,6.19,3.82,4225
3.14,"Ideal","J","IF",58,62.6,"HRD",9.34,9.3,5.83,37230
0.5,"V.Good","E","VVS1",59,64.3,"GIA",4.96,4.98,3.19,2320
0.27,"V.Good","H","VVS2",59.5,59.1,"IGI",4.25,4.29,2.5,429
1.5,"Ideal","E","SI1",57,62.8,"GIA",7.23,7.28,4.56,12890
0.24,"Ideal","E","IF",60,60,"GIA",4.01,4.04,2.41,622
0.3,"Ideal","J","SI2",61,60.2,"GIA",4.39,4.37,2.64,680
0.5,"Ideal","G","VVS2",57,61.6,"GIA",5.1,5.12,3.14,1679
1.29,"Ideal","I","VS2",57,62.8,"GIA",6.96,6.91,4.35,7476
0.52,"Ideal","E","VVS2",58,62.4,"GIA",5.11,5.13,3.2,2023
0.53,"Ideal","I","VS2",57,61.9,"GIA",5.16,5.2,3.21,1550
0.36,"Ideal","F","SI1",60,59.1,"GIA",4.68,4.67,2.76,870
1.27,"Ideal","D","VVS2",58,62.1,"GIA",6.91,6.95,4.3,17700
0.32,"Ideal","J","VVS1",62,59,"GIA",4.5,4.47,2.65,760
1.57,"V.Good","K","SI1",58,62.1,"HRD",7.51,7.47,4.65,7100
0.8,"Ideal","F","VVS2",60,60.8,"GIA",6,6.02,3.65,4356
1.24,"Ideal","L","VS2",55,62.8,"GIA",6.86,6.89,4.32,3410
0.7,"Ideal","G","VS2",57,62.3,"GIA",5.66,5.69,3.54,2552
0.5,"Ideal","H","VS2",61,60.4,"GIA",5.17,5.14,3.11,1432
0.57,"Ideal","H","VVS2",56,62.6,"GIA",5.29,5.32,3.32,1808
0.3,"V.Good","E","SI1",61,62.5,"GIA",4.26,4.21,2.64,760
0.3,"Ideal","D","VS1",60,60.7,"GIA",4.34,4.31,2.63,920
0.7,"V.Good","H","VS1",56,64.4,"GIA",5.54,5.57,3.58,2634
1.04,"Ideal","I","VS1",58,61.9,"GIA",6.53,6.5,4.03,6477
0.35,"Ideal","E","VS1",58,61.6,"GIA",4.51,4.54,2.79,750
0.5,"V.Good","D","VS2",62,59.3,"GIA",5.14,5.16,3.05,1920
