Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
CSL UN Equity,Carlisle Cos Inc,US,Industrials,90.24,89.68,-59,268,2150.6,3718.4,263.9,136.7,13.1198,25.7999,3138,-53.7,23.769,5790.3777,511.5,33.4,-53.8
ABT UN Equity,Abbott Laboratories,US,Health Care,45.02,44.76,-1225,1968,22993,42514,4062,2969,12.0072,53.6392,19963,-308,17.733,67790.6895,3976,140,3424
PGRE UN Equity,Paramount Group Inc,US,Financials,18.59,19.35,#N/A N/A,#N/A N/A,5313.048,8728.976,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3939.1656,#N/A N/A,#N/A N/A,2722.173
AFL UN Equity,Aflac Inc,US,Financials,61.09,57.08,-649,2923,17853,127253,7965,7965,20.6995,#N/A N/A,23015,#N/A N/A,13.905,27526.3359,#N/A N/A,320,1892
APD UN Equity,Air Products & Chemicals Inc,US,Materials,144.23,145.61,-627.7,991.7,7808.6,17779.1,2187.1,502.9,12.7234,26.8646,10439,-2.7,22.822,30868.4045,2285.1,125.1,5781.9
ARG UN Equity,Airgas Inc,US,Materials,115.18,112.64,-152.898,358.28,2002.424,5904.774,705.584,298.608,12.2735,55.7516,5182.018,-2.414,18.048,8604.1785,952.778,#N/A N/A,2374.61
CHTR UW Equity,Charter Communications Inc,US,Consumer Discretionary,184.273,167.126,0,-96,97,20950,2324,80,10.5778,38.1183,8896,-36,24.802,18206.2872,3009,#N/A N/A,17585
AEP UN Equity,American Electric Power Co Inc,US,Utilities,60.72,62.81,-981,1789,16872,57925,4814,587,20.3958,62.709,16626,105,18.218,29706.6819,5356,879,18828
CCK UN Equity,Crown Holdings Inc,US,Materials,50.9,44.31,0,423,548,9817,1018,712,9.3242,16.4473,9041,19,20.537,7070.9728,1014,245,5067
HES UN Equity,Hess Corp,US,Energy,73.82,67.49,-313,4250,24365,40975,4933,-131,27.0501,62.9793,10902,#N/A N/A,35.474,22069.8596,6011,338,1876
APC UN Equity,Anadarko Petroleum Corp,US,Energy,82.5,81.75,-460,-2126,22563,60665,8629,-1054,28.1627,52.461,18631,-142,37.761,41782.1587,9551,746,6393
GRA UN Equity,WR Grace & Co,US,Materials,76.5584,69.5679,0,290.5,524.4,4180.4,-1463.1,-1623.1,15.0889,37.8685,3215.6,-43.1,20.146,7041.9008,618.8,48.7,1419
AON UN Equity,Aon PLC,US,Financials,94.83,90.05,-254,1293,7272,28827,1532,1298,15.4412,#N/A N/A,11955,-13,15.433,27039.5121,2454,245,4901
APA UN Equity,Apache Corp,US,Energy,62.67,62.57,-351,-415,32986,60990,9005,-1996,21.1039,40.4618,13860,772,38.943,23594.1381,7729,305,10412
DCI UN Equity,Donaldson Co Inc,US,Industrials,38.63,36.56,-87.098,254.579,892.549,1869.998,268.25,164.613,13.8009,35.3148,2470.592,#N/A N/A,21.806,5304.2675,409.989,11.1,248.96
ADM UN Equity,Archer-Daniels-Midland Co,US,Consumer Staples,52,46.63,-595,1921,20261,41821,4781,3922,2.9698,5.3132,84450,1161,22.863,33476.9519,3382,346,136
GAS UN Equity,AGL Resources Inc,US,Utilities,54.51,56.38,-231,416,3802,13932,775,27,18.8271,48.3204,5269,-98,18.426,6517.9241,1361,185,4433
JAH UN Equity,Jarden Corp,US,Consumer Discretionary,47.88,48.02,0,201.4,2607.1,10823,555.4,310.8,7.761,29.6824,8064.7,-35.9,20.652,9210.9866,816.8,219.4,4389.9
ADP UW Equity,Automatic Data Processing Inc,US,Information Technology,83.37,82.53,-902.3,1482.5,5827.3,30208.1,2118.3,1900,17.8682,40.9798,10451.5,10.9,16.515,40189.0749,2304.3,6.1,-2536
AZO UN Equity,AutoZone Inc,US,Consumer Discretionary,619.11,596.96,0,1069.745,-1621.857,7497.163,1341.234,903.118,19.3157,52.0817,9475.313,-27.963,17.001,19748.2248,2081.49,#N/A N/A,4235.126
AVY UN Equity,Avery Dennison Corp,US,Materials,51.88,52.27,-121.3,216.6,1306.8,4493.5,424.6,273.7,7.6299,26.1895,6309.4,#N/A N/A,19.141,4726.3225,678.8,62.4,916.6
AVP UN Equity,Avon Products Inc,US,Consumer Staples,9.39,7.74,-108.8,-127,925,6090.4,684.8,517.5,2.3209,60.5561,9177.6,-190.5,33.459,4081.4167,407.5,113.5,1803.7
BHI UN Equity,Baker Hughes Inc,US,Energy,56.07,57.99,-272,1304,18284,28642,2757,936,9.783,18.1612,23776,-374,44.208,24255.8259,4108,#N/A N/A,3204
GMT UN Equity,GATX Corp,US,Industrials,57.54,57.15,-61.6,199.8,1331.2,6816.3,433,-586.4,21.4692,36.4102,1406.2,#N/A N/A,29.828,2543.268,585.5,#N/A N/A,4099.7
BLL UN Equity,Ball Corp,US,Materials,68.17,63.33,-73.2,518.5,1414.7,7614.9,1037.1,718.4,10.9978,19.705,8534.4,#N/A N/A,20.268,9333.9694,1224.6,166.7,3126
ITC UN Equity,ITC Holdings Corp,US,Utilities,40.43,42.54,-92.587,274.282,1616.948,6807.364,517.894,-222.808,58.7371,#N/A N/A,1047.32,-9.254,18.254,6296.363,740.787,183.283,4028.545
MRD UW Equity,Memorial Resource Development Corp,US,Energy,18.03,19.15,#N/A N/A,#N/A N/A,1458.999,4021.667,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,52.397,3489.8724,#N/A N/A,#N/A N/A,2101.484
KEYS UN Equity,Keysight Technologies Inc,US,Information Technology,33.77,33.39,#N/A N/A,#N/A N/A,1209,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5667.8093,#N/A N/A,#N/A N/A,0
ALNY UW Equity,Alnylam Pharmaceuticals Inc,US,Health Care,97,93.83,0,-371.363,904.478,986.357,-151.375,-182.688,-1040.0385,#N/A N/A,37.389,-3.639,56.166,7462.3159,-377.648,#N/A N/A,-956.468
GGG UN Equity,Graco Inc,US,Industrials,80.18,71.24,-65.312,221.28,646.041,1427.818,232.424,199.039,25.5077,54.6882,1187.048,-19.827,20.339,4768.2246,339.978,18.14,64.407
BK UN Equity,Bank of New York Mellon Corp/The,US,Financials,40.57,36,-816,2745,39598,386296,2711,1879,26.3101,#N/A N/A,15963,#N/A N/A,16.103,45670.0432,#N/A N/A,349,-84558
BCR UN Equity,CR Bard Inc,US,Health Care,166.62,171.03,-66.1,811.6,1832.2,5113.7,1244.7,1132.9,22.3728,61.5205,3247.7,52.4,16.826,12479.6285,894.7,44.9,431.1
BAX UN Equity,Baxter International Inc,US,Health Care,39.8153,38.1964,-1079,1870,8426,25563,3155,1823,13.9294,46.8902,15033,-117,16.719,39721.583,2936,180,7190
CSRA UN Equity,CSRA Inc,US,Information Technology,#N/A N/A,#N/A N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A N/A,#N/A N/A,#N/A,#N/A,#N/A
TPX UN Equity,Tempur Sealy International Inc,US,Consumer Discretionary,54.91,55.03,0,85.2,185.6,2699.7,174.6,132.7,9.3724,38.6395,2922.4,#N/A N/A,29.798,3344.6249,366.2,#N/A N/A,1565
HE UN Equity,Hawaiian Electric Industries Inc,US,Utilities,33.48,34.3,-121.363,173.889,1835.701,10670.471,277.73,-89.373,10.4443,41.9886,3282.005,-15.645,29.429,3433.7912,518.942,75.414,1132.505
BDX UN Equity,Becton Dickinson and Co,US,Health Care,139.16,138.08,-421,1185,5053,12447,1746,1154,19.0149,50.9354,8446,#N/A N/A,21.734,26911.0227,2168,136,1226
BMS UN Equity,Bemis Co Inc,US,Materials,45.21,44.3,-108.3,188.2,1595,4020.8,302.3,140.1,9.2183,19.6065,4376.1,#N/A N/A,18.201,4515.6143,589.2,65.5,1324.7
RAD UN Equity,Rite Aid Corp,US,Consumer Staples,7.52,6.98,0,267.777,-1906.525,6959.344,800.365,443.712,2.8146,28.4618,25943.306,-34.353,55.143,7380.36,1138.032,406.581,5566.528
BRK/B UN Equity,Berkshire Hathaway Inc,US,Financials,150.15,143.91,0,20707,240302,517363,31124,17592,16.6885,24.1095,193463,#N/A N/A,14.218,370652.646,40194,2790,-175624
BBY UN Equity,Best Buy Co Inc,US,Consumer Discretionary,38.98,35.2,-244,1007,4573,15762,1482,932,2.7315,22.0148,40600,36,36.651,13672.6252,1759,91,-1503
HUBB UN Equity,Hubbell Inc,US,Industrials,106.83,106.04,-120.3,325.2,2035,3411.4,402.1,341.1,15.6005,33.2992,3317.2,-31.9,30.969,5542.0316,594.6,#N/A N/A,-63.4
KSU UN Equity,Kansas City Southern,US,Industrials,122.03,110.09,-109.3,475.2,3953.1,7817,907.6,-67.8,31.0289,#N/A N/A,2550.2,5.9,26.517,13467.2746,1040.4,73.9,1897.1
HRB UN Equity,H&R Block Inc,US,Consumer Discretionary,33.68,34.28,-219.282,-13.409,1397.2,3890.819,746.738,608.272,22.6763,48.5249,3030.686,#N/A N/A,24.3,9267.6634,819.732,#N/A N/A,-926.844
IT UN Equity,Gartner Inc,US,Information Technology,84.21,84.22,0,186.04,152.523,1768.953,349.194,314.952,14.252,60.5669,1958.169,-60.464,18.899,7412.8125,316.945,#N/A N/A,28.78
BSX UN Equity,Boston Scientific Corp,US,Health Care,13.25,14.81,0,288,6701,16718,1104,840,4.3514,69.9222,7331,#N/A N/A,22.205,17575.9908,1036,219,4006
IEX UN Equity,IDEX Corp,US,Industrials,77.84,72.35,-82.473,285.321,1587.9,2939.312,368.195,325.979,20.5477,44.1694,2144.488,-18.153,19.055,6180.2235,518.564,41.805,336.357
BMY UN Equity,Bristol-Myers Squibb Co,US,Health Care,59.03,60.27,-2377,2717,15201,33450,3986,3454,17.0651,73.6085,16062,-7,23.407,97917.5762,3286,203,-3881
INT UN Equity,World Fuel Services Corp,US,Energy,46.93,48.97,-10.607,206.475,1811.71,5523.665,179.62,110.088,0.5969,1.7944,44011.487,#N/A N/A,26.853,3381.9637,316.46,28.282,378.731
BF/B UN Equity,Brown-Forman Corp,US,Consumer Staples,87.84,88.87,-241,665,2054,4191,668,534,32.436,69.6577,3009,#N/A N/A,19.067,18564.8594,1027,27,551
COG UN Equity,Cabot Oil & Gas Corp,US,Energy,29.61,26.5,-33.42,404.185,2366.471,5807.264,1201.1,-114.852,35.8459,40.6317,1997.704,-12.659,32.925,12229.5183,1358.045,66.503,1302.013
CPB UN Equity,Campbell Soup Co,US,Consumer Staples,44,45.74,-395,894,1606,8297,1049,692,15.2668,34.8887,8358,-27,14.374,13787.078,1582,117,3833
GXP UN Equity,Great Plains Energy Inc,US,Utilities,28.41,29.57,-143.3,238.8,3642.4,10174.7,755.6,16.2,20.8666,71.2463,2554.8,-14.4,17.498,4378.673,859.1,191.7,3886.4
CCL UN Equity,Carnival Corp,US,Consumer Discretionary,45.33,43.96,-776,1393,25157,39997,3268,1184,10.225,33.4113,15824,#N/A N/A,27.937,35235.6766,3248,295,8431
KMT UN Equity,Kennametal Inc,US,Industrials,35.79,31.42,-56.581,160.017,1954.254,3751.813,278.4,155.196,9.1207,31.4823,2912.323,-44.899,27.232,2831.2049,402.824,33.58,859.669
CTL UN Equity,CenturyLink Inc,US,Telecommunication Services,39.58,37.17,-1239,823,16445,50646,5088,2138,14.1605,57.0334,18135,-218,21.5,22588.5142,7031,#N/A N/A,20417
9876566D UN Equity,Chubb Corp/The,US,Financials,103.47,97.9,-469,2111,16506,52070,2329,2271,20.3688,#N/A N/A,14046,#N/A N/A,11.927,24399.6473,#N/A N/A,#N/A N/A,3243
CI UN Equity,Cigna Corp,US,Health Care,102.91,106.83,-11,1996,11268,55653,2084,1609,8.7594,33.0118,34009,-620,20.189,26919.0582,3566,263,1745
FTR UW Equity,Frontier Communications Corp,US,Telecommunication Services,6.67,6.715,-400.591,188.964,3892.519,17639.688,1362.352,716.457,19.5772,90.6591,4622.554,9.924,29.388,6683.8802,2003.009,674.535,8639.619
CLX UN Equity,Clorox Co/The,US,Consumer Staples,104.21,106.71,-370,512,169,4150,832,693,17.8345,42.5493,5523,33,18.111,13484.9658,1161,103,1869
CMS UN Equity,CMS Energy Corp,US,Utilities,34.75,37.73,-290,483,3707,18381,1265,-365,15.9704,46.444,7157,-143,17.595,9596.1762,1811,402,8331
NFG UN Equity,National Fuel Gas Co,US,Utilities,69.53,63.43,-126.642,299.414,2410.683,6728.04,909.39,-5.027,26.9594,71.3292,2113.081,-22.781,18.427,5853.7494,953.454,94.277,1686.157
TRI UN Equity,Thomson Reuters Corp,US,Consumer Discretionary,40.34,38.4,-1041,411,15499,31660,1981,1024,11.1961,#N/A N/A,12674,#N/A N/A,13.553,32369.3119,3254,407,7241
CCE UN Equity,Coca-Cola European Partners PLC,US,Consumer Staples,44.22,42.1,-237,686,1730,9286,827,499,12.4358,35.7424,8371,#N/A N/A,21.612,10689.4954,1349,117,3930
CL UN Equity,Colgate-Palmolive Co,US,Consumer Staples,69.19,67.52,-1342,2116,1746,13685,3231,2487,19.8312,58.5692,17417,-122,12.154,62761.0015,3893,#N/A N/A,4700
BAH UN Equity,Booz Allen Hamilton Holding Corp,US,Information Technology,26.53,29.11,-600.041,230.461,164.322,2829.126,393.638,370.52,8.439,50.6251,5300.12,147.735,21.951,3962.6599,515.214,73.824,1403.717
CMA UN Equity,Comerica Inc,US,Financials,46.84,41.5,-132,554,7433,68887,991,921,32.3065,#N/A N/A,2630,#N/A N/A,23.158,8416.5196,#N/A N/A,98,-5028
AL UN Equity,Air Lease Corp,US,Industrials,34.31,34.94,-11.714,244.714,2695.09,10545.563,732.6,-1739.339,58.4217,#N/A N/A,1007.45,0,27.973,3512.8941,909.885,183.374,6435.964
OGE UN Equity,OGE Energy Corp,US,Utilities,35.48,35.18,-175.8,395,3243,9462.7,733,77.9,21.5535,54.7623,2435.8,17.7,20.075,7071.8414,797.8,147.8,2921.1
CA UW Equity,CA Inc,US,Information Technology,30.45,30.3,-447,812,5743,11372,1137,1073,26.1239,85.1835,4360,46,18.979,13547.3925,1556,#N/A N/A,-1430
CSC UN Equity,Computer Sciences Corp,US,Information Technology,36.211,34.8499,-122,838,3719,10573,1567,1134,10.7193,29.4003,12874,#N/A N/A,21.338,8857.9333,2420,148,860
CAG UN Equity,ConAgra Foods Inc,US,Consumer Staples,36.28,35.43,-421.6,641.1,5748.3,19373.1,1636.1,1127.4,4.5914,22.2768,14890.8,1.8,16.07,15452.2674,1217.2,374.7,8357.5
ED UN Equity,Consolidated Edison Inc,US,Utilities,66.01,69.28,-734,1243,12716,40667,2999,255,18.7992,65.9824,12958,-13,16.139,19333.5309,3493,589,12416
SCI UN Equity,Service Corp International/US,US,Consumer Discretionary,22.7,22.63,-67.884,113.992,1365.936,12330.231,315.281,186.699,16.5191,21.4864,2877.797,-10.113,16.308,4713.5118,701.846,173.45,2801.507
ZG UW Equity,Zillow Group Inc,US,Information Technology,33.0209,30.2237,0,-29.998,585.2,649.21,52.119,22.227,-10.5364,91.1254,291.912,-8.563,44.003,4305.473,2.395,#N/A N/A,-366.32
AFG UN Equity,American Financial Group Inc/OH,US,Financials,60.72,58.04,-167,483,5078,46552,1064,1021,13.5593,#N/A N/A,5546,#N/A N/A,13.13,5335.5189,#N/A N/A,70,-248
GLW UN Equity,Corning Inc,US,Information Technology,22.93,23.77,-579,1905,21850,29815,4881,3804,17.039,41.2863,9267,47,22.059,29392.778,2730,119,-2421
VNTV UN Equity,Vantiv Inc,US,Information Technology,33.92,34.39,0,99.547,1243.224,6273.328,601.656,510.064,12.7182,54.5018,2401.773,-113.294,20.442,6416.7533,524.397,#N/A N/A,3076.174
PVH UN Equity,PVH Corp,US,Consumer Discretionary,128.17,110.26,-12.5,321.039,4530.3,11585.3,519.941,285.693,7.9158,52.4717,8250.619,-18.839,26.682,10567.7276,882.482,171.908,3446.3
CMI UN Equity,Cummins Inc,US,Industrials,144.17,139.46,-485,1639,8097,15644,2144,1476,12.4846,25.2417,18719,-168,25.868,26338.6772,2769,66,-692
