Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
LEA UN Equity,Lear Corp,US,Consumer Discretionary,103.83,101.35,-75.7,772,2924.8,9638.7,1202.1,730.5,6.1287,9.5423,18036.5,-186.4,25.06,7818.6409,1441.1,86.7,1056.7
WLK UN Equity,Westlake Chemical Corp,US,Materials,45.48,43.12,-89.818,717.684,3519.838,5524.405,1097.552,648.395,23.4381,28.4416,4612.441,82.043,40.27,5942.0617,1321.39,35.93,-483.565
IP UN Equity,International Paper Co,US,Materials,34.21,35.7,-672,894,4470,31981,2734,1331,8.1872,22.3005,22865,-49,33.201,14182.3345,3198,646,8536
CBT UN Equity,Cabot Corp,US,Materials,40.34,44.53,-83,-334,1338,3075,499,358,-11.0414,20.3762,2871,154,37.018,2515.5516,-134,53,943
ENH UN Equity,Endurance Specialty Holdings Ltd,US,Financials,61.93,62.27,-102.685,287.636,5056.344,14028.835,140.06,115.113,20.3707,#N/A N/A,2022.776,#N/A N/A,17.35,4125.8911,#N/A N/A,39.503,-327.85
CSL UN Equity,Carlisle Cos Inc,US,Industrials,83.68,90.16,-68.9,290.9,2364.1,4075.6,484.1,410.7,13.4568,27.4689,3457,26.1,27.291,5439.652,588.8,35,394.2
ABT UN Equity,Abbott Laboratories,US,Health Care,37.85,38.74,-1418,4561,21219,41725,3376,2227,14.0038,56.8464,20573,-173,30.96,56461.5963,4382,165,2216
PGRE UN Equity,Paramount Group Inc,US,Financials,16.4,15.12,#N/A N/A,#N/A N/A,5534.866,8986.806,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.631,3478.6358,#N/A N/A,#N/A N/A,2435.64
AFL UN Equity,Aflac Inc,US,Financials,57.96,59.52,-657,2506,17255,117455,6743,6743,19.5994,#N/A N/A,21067,#N/A N/A,19.596,24733.7738,#N/A N/A,303,1489
APD UN Equity,Air Products & Chemicals Inc,US,Materials,126.71,132.47,-677.5,1277.9,7381.1,17438.1,2437.8,1012.1,17.1967,29.8356,9894.9,-29.7,24.142,27325.0571,2638,103.5,5672.6
ARG UN Equity,Airgas Inc,US,Materials,140,141.52,-171.09,367.191,1917.121,6163.938,747.78,229.881,11.8171,55.7605,5357.822,5.916,47.71,10133.3801,974.807,#N/A N/A,2705.496
CHTR UW Equity,Charter Communications Inc,US,Consumer Discretionary,189.516,198.584,0,-197,60,36873,2378,543,11.1227,37.9192,9602,-22,32.695,19197.1037,3182,#N/A N/A,33281
AEP UN Equity,American Electric Power Co Inc,US,Utilities,60.97,61.75,-1046,1769.2,17709,61099,4798.9,221.1,19.6895,62.2067,16774.4,-166.3,20.793,29925.1377,5441.5,881.7,19715
CCK UN Equity,Crown Holdings Inc,US,Materials,45.88,46.85,0,340,433,10229,1218,899,9.411,15.3577,8862,204,25.714,6396.2122,1063,267,5345
HES UN Equity,Hess Corp,US,Energy,42.5,43.6,-286,-1243,22363,36456,2506,-2482,-18.0723,52.3643,7719,#N/A N/A,52.425,12159.1309,2452,337,3539
APC UN Equity,Anadarko Petroleum Corp,US,Energy,39.09,37.95,-552,-5840,17052,49182,-182,-7262,-66.7183,13.8351,10336,22,59.809,19863.3005,-2100,815,13853
GRA UN Equity,WR Grace & Co,US,Materials,65.2821,68.74,0,139.4,257.4,3707.5,83.5,-69.3,13.8067,37.6447,2773.3,-4.8,24.506,5745.6819,508.9,99.3,1884.7
AON UN Equity,Aon PLC,US,Financials,87.83,95.29,-312,1260,5942,27206,2166,1864,15.1031,#N/A N/A,11693,-13,19.388,24058.116,2320,272,5343
APA UN Equity,Apache Corp,US,Energy,42.54,38.28,-377,-20720,11972,27812,4655,-2906,-307.5777,10.917,7786,741,57.647,16080.7237,-19766,508,7122
DCI UN Equity,Donaldson Co Inc,US,Industrials,28.18,28.24,-90.85,190.562,739.6,1800.1,221.446,133.165,11.5286,33.6261,2311.846,#N/A N/A,27.694,3738.0781,341.337,16.6,428.1
ADM UN Equity,Archer-Daniels-Midland Co,US,Consumer Staples,35.35,34.96,-674,1832,17878,40877,1636,522,3.1476,6.3838,72151,-37,32.39,21094.7543,3177,321,5209
GAS UN Equity,AGL Resources Inc,US,Utilities,63.56,64.65,-241,394,3910,14206,1191,220,18.4448,53.255,4424,67,6.887,7642.4504,1208,172,4442
JAH UN Equity,Jarden Corp,US,Consumer Discretionary,53.05,52.88,0,228.7,3580.2,12875.5,447.5,248.1,6.6999,31.3669,8431.5,-83,30.984,11689.7799,774,217.3,4762.6
ADP UW Equity,Automatic Data Processing Inc,US,Information Technology,83.09,84.69,-926.8,1493.9,4630.2,34380.3,1620.6,1442.7,18.4476,41.2336,11094.1,-445.7,20.982,38321.6593,2348,9.4,-1238
AZO UN Equity,AutoZone Inc,US,Consumer Discretionary,767.39,774.57,0,1180.043,-1778.121,8217.528,1473.397,997.8,19.2229,52.3925,10313.119,-59.886,22.244,23181.5514,2257.642,#N/A N/A,4588.615
AVY UN Equity,Avery Dennison Corp,US,Materials,60.89,65.12,-131.3,287.5,1055.3,4248.9,441.3,304.6,8.8362,27.2785,6116.9,#N/A N/A,23.985,5547.2169,736.4,62.2,881.9
AVP UN Equity,Avon Products Inc,US,Consumer Staples,3.39,3.81,-109.1,-1135.1,-768.4,3774.7,-58.3,-163,3.4527,60.9555,7298.6,-181,98.913,1476.0005,414.8,116.6,1726.1
BHI UN Equity,Baker Hughes Inc,US,Energy,43.51,42.87,-296,-273,17505,25416,2461,1207,-0.0211,12.901,18983,1740,46.979,18974.131,1790,#N/A N/A,2009
GMT UN Equity,GATX Corp,US,Industrials,40.98,43.01,-66.8,205.6,1269,6904.7,475.9,-514.3,24.0391,39.0873,1472.6,#N/A N/A,35.996,1737.5521,656.5,#N/A N/A,4182.5
BLL UN Equity,Ball Corp,US,Materials,66.83,66.23,-71.7,301.9,1243.4,7727,959,461.9,7.4556,18.9843,8224.7,#N/A N/A,26.86,9110.3936,895.6,145.5,2917.9
ITC UN Equity,ITC Holdings Corp,US,Utilities,39.9,40.63,-105.013,251.277,1681.864,7405.599,526.888,-116.768,54.8122,#N/A N/A,1051.831,-12.335,28.101,6121.4177,716.862,198.215,4380.038
MRD UW Equity,Memorial Resource Development Corp,US,Energy,15.91,9.67,0,242.162,1396.614,4617.268,549.23,-421.211,0.9522,25.0302,1100.005,18.241,52.131,3266.5529,389.012,#N/A N/A,2596.901
KEYS UN Equity,Keysight Technologies Inc,US,Information Technology,23.4,26.09,0,513,1302,3508,376,284,15.091,55.7423,2856,-20,27.378,3997.9026,530,46,616
ALNY UW Equity,Alnylam Pharmaceuticals Inc,US,Health Care,68.94,58.57,0,-220.741,1321.604,1436.144,-172.711,-186.088,-432.9158,#N/A N/A,57.565,#N/A N/A,66.195,5841.6799,-231.886,#N/A N/A,-1336.274
GGG UN Equity,Graco Inc,US,Industrials,72.68,78.32,-69.013,341.21,636.492,1387.399,206.083,171.871,23.3251,53.492,1266.933,-16.12,30.488,4063.7567,336.694,18.356,332.33
BK UN Equity,Bank of New York Mellon Corp/The,US,Financials,36.22,35.39,-841,3182,39199,377371,5103,4480,28.4422,#N/A N/A,15473,#N/A N/A,27.723,39586.7445,#N/A N/A,316,-84953
BCR UN Equity,CR Bard Inc,US,Health Care,183.27,192.38,-68.4,129,1478.2,4972.4,802.9,687,24.9795,61.8831,3412.4,-12.7,22.813,13541.1043,1041.8,44.9,397.4
BAX UN Equity,Baxter International Inc,US,Health Care,36.6,39.51,-1129,1716,7845,20172,2066,1051,6.9997,44.7632,11572,-39,24.012,20020.8478,1543,149,603
CSRA UN Equity,CSRA Inc,US,Information Technology,26.78,25.95,#N/A N/A,#N/A N/A,888.014,1913.456,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4390.0885,#N/A N/A,#N/A N/A,141.657
TPX UN Equity,Tempur Sealy International Inc,US,Consumer Discretionary,60.34,57.67,0,131.4,313.6,2739.4,177.5,109.2,9.3884,39.3015,3129.4,#N/A N/A,36.486,3755.3202,375.4,#N/A N/A,1414.5
HE UN Equity,Hawaiian Electric Industries Inc,US,Utilities,29.92,29.36,-132.126,150.81,1955.294,11573.466,411.322,-33.59,11.1051,49.2211,2768.99,60.28,20.742,3215.1625,506.697,72.319,1022.199
BDX UN Equity,Becton Dickinson and Co,US,Health Care,145.37,147.45,-485,695,7164,26820,1730,1134,10.4562,45.8029,10281,#N/A N/A,21.814,30842.5338,1966,376,11378
BMS UN Equity,Bemis Co Inc,US,Materials,47.87,49.07,-109,241.6,1243.3,3447.9,468.6,248.2,9.9218,20.9832,4141.4,#N/A N/A,24.559,4594.2304,570.6,51.4,1221.4
RAD UN Equity,Rite Aid Corp,US,Consumer Staples,7.79,7.95,0,1934.88,500.828,11718.08,844.537,328.309,2.6398,26.4053,29314.45,331.489,67.208,8151.9497,1255.037,444.338,7141.228
BRK/B UN Equity,Berkshire Hathaway Inc,US,Financials,129.77,134.17,0,22760,251321,545468,32008,15192,17.9383,25.0791,207260,#N/A N/A,19.96,319650.6141,44914,3773,-161714
BBY UN Equity,Best Buy Co Inc,US,Consumer Discretionary,27.93,32.39,-487,937,4650,15175,1624,995,3.525,23.0992,40114,-27,36.235,9572.162,2080,82,-1708
HUBB UN Equity,Hubbell Inc,US,Industrials,90.43,99.36,-129.8,296.2,1953.6,3382.5,338.4,268.4,14.3364,32.3303,3409.5,10.1,26.21,5226.6566,572.6,#N/A N/A,154.6
KSU UN Equity,Kansas City Southern,US,Industrials,70.88,81.71,-134.9,485,4184.3,8322.5,895.4,-35,32.428,#N/A N/A,2463.3,13.2,39.396,7690.3913,1076.8,76.5,2228.2
HRB UN Equity,H&R Block Inc,US,Consumer Discretionary,34.05,32.88,-220.427,457.227,-27.243,2289.897,651.472,560.462,24.2618,46.7856,3076.577,#N/A N/A,24.889,8034.0964,907.465,40.219,1139.949
IT UN Equity,Gartner Inc,US,Information Technology,87.89,82.4,0,169.016,-159.589,2091.542,337.477,288.44,13.418,61.1208,2103.267,-56.744,21.868,7282.2681,324.662,#N/A N/A,468.756
BSX UN Equity,Boston Scientific Corp,US,Health Care,17.53,16.98,0,-396,6410,18215,711,470,-7.433,70.769,7386,#N/A N/A,30.394,23581.2695,203,278,5509
IEX UN Equity,IDEX Corp,US,Industrials,72.51,75.16,-93.874,276.664,1428.593,2870.362,363.159,316.371,20.9282,44.5054,2044.769,8.867,21.812,5548.3643,504.532,41.982,546.769
BMY UN Equity,Bristol-Myers Squibb Co,US,Health Care,62.16,61.93,-2457,1775,15273,31779,1793,1067,16.3995,76.2688,16531,-772,27.702,103700.6812,3114,194,-2766
INT UN Equity,World Fuel Services Corp,US,Energy,38.95,46.81,-13.7,202.2,1875.8,4972.9,171.8,122.3,0.7494,2.5488,33427.4,#N/A N/A,37.023,2756.881,313,34.3,274.8
BF/B UN Equity,Brown-Forman Corp,US,Consumer Staples,97.84,98.47,-262,682,1401,4319,699,573,33.2582,69.4462,3106,#N/A N/A,22.167,20414.0834,1086,35,1587
COG UN Equity,Cabot Oil & Gas Corp,US,Energy,20.75,20.13,-33.072,-224.538,2121.737,5484.672,798.431,-536.299,-29.9709,22.0845,1632.82,70.605,58.342,8587.8993,156.729,95.715,2028.227
CPB UN Equity,Campbell Soup Co,US,Consumer Staples,56.41,61.75,-393,663,1410,8304,1212,823,13.2628,34.7696,8030,3,19.86,17488.8232,1367,111,3833
GXP UN Equity,Great Plains Energy Inc,US,Utilities,27.88,29.34,-152.7,208.4,3709.9,10844.1,743.5,-1.1,20.7047,74.2264,2491.7,41.2,22.786,4303.8176,867.2,195.5,4094.7
CCL UN Equity,Carnival Corp,US,Consumer Discretionary,48.13,47.96,-816,1757,23771,39237,4545,2251,16.3856,39.8855,15715,#N/A N/A,29.774,37783.861,4201,217,7392
KMT UN Equity,Kennametal Inc,US,Industrials,17.7,20.13,-58.682,-419.611,1339.089,2752.04,347.592,240.238,-16.4391,29.475,2507.608,55.844,56.813,1409.0647,-283.378,30.236,653.634
CTL UN Equity,CenturyLink Inc,US,Telecommunication Services,25.42,30.59,-1209,728,14250,48754,5207,2234,13.0836,56.1247,17862,-143,30.668,13955.6871,6604,1314,20059
9876566D UN Equity,Chubb Corp/The,US,Financials,127.26,#N/A N/A,-500,2028,16371,51192,2191,2132,19.8251,#N/A N/A,13947,#N/A N/A,10.495,28895.131,#N/A N/A,#N/A N/A,3247
CI UN Equity,Cigna Corp,US,Health Care,133.6,139.61,0,2135,11854,56909,2314,1834,8.9938,32.8255,37148,-1257,28.595,34415.3486,3945,259,1115
FTR UW Equity,Frontier Communications Corp,US,Telecommunication Services,4.55,5.41,-500.247,-146.054,5855,27365,1289.006,445.202,13.3898,88.7279,5493.305,-19.439,43.414,5315.3648,2059.718,937.561,15102
CLX UN Equity,Clorox Co/The,US,Consumer Staples,129.05,126.42,-389,662,119,4095,778,654,18.391,44.1244,5693,-42,16.863,16659.2038,1214,97,1844
CMS UN Equity,CMS Energy Corp,US,Utilities,38.88,39.56,-316,513,3939,19452,1905,278,17.7629,51.305,6705,77,19.971,10803.9604,1937,407,8621
NFG UN Equity,National Fuel Gas Co,US,Utilities,45.33,45.68,-130.719,-379.428,2025.44,6702.139,853.58,-164.599,-34.701,80.1248,1760.913,51.638,31.673,3841.4394,-274.896,98.68,1970.413
TRI UN Equity,Thomson Reuters Corp,US,Consumer Discretionary,37.4,36.6,-1023,1993,13271,29048,2646,1652,20.9561,#N/A N/A,12049,#N/A N/A,20.604,28712.9803,4236,363,7783
CCE UN Equity,Coca-Cola European Partners PLC,US,Consumer Staples,46.42,48.51,-254,552,1007,8015,1180,827,12.1544,36.121,7306,#N/A N/A,20.038,10535.1244,1174,122,3809
CL UN Equity,Colgate-Palmolive Co,US,Consumer Staples,67.53,65.64,-1489,2470,590,13563,3014,2291,23.9851,58.5779,16356,-59,20.48,60569.1466,4373,#N/A N/A,5199
BAH UN Equity,Booz Allen Hamilton Holding Corp,US,Information Technology,28.29,27.6,-77.777,216.692,268.984,2874.625,198.116,141.444,8.1328,51.5989,5321.39,-26.146,29.385,4209.2175,493.863,70.326,1414.568
CMA UN Equity,Comerica Inc,US,Financials,34.3,33.78,-145,548,7622,71012,737,627,30.3779,#N/A N/A,2767,#N/A N/A,31.182,6062.0042,#N/A N/A,94,-4098
AL UN Equity,Air Lease Corp,US,Industrials,25.76,30.05,-15.374,242.623,2939.448,11911.694,784.403,-2139.268,53.438,#N/A N/A,1182.087,0,40.972,2616.7439,1014.065,226.197,7378.518
OGE UN Equity,OGE Energy Corp,US,Utilities,26.23,24.88,-199.5,300.3,3353.4,9617.8,869.7,362.8,22.8251,59.609,2276,17,24.956,5238.1986,823.7,148.3,2712.2
CA UW Equity,CA Inc,US,Information Technology,28.73,29.29,-442,759,5702,10893,1018,976,26.6602,85.1563,4096,47,23.04,11973.5949,1467,#N/A N/A,-801
CSC UN Equity,Computer Sciences Corp,US,Information Technology,32.07,28.81,-129,22,3046,10013,1384,1020,-2.0424,22.5535,10331,#N/A N/A,47.45,4450.7998,652,138,792
CAG UN Equity,ConAgra Foods Inc,US,Consumer Staples,41.64,42.06,-428.5,-1744.1,3514.7,15994.6,1380.9,967.7,10.3066,24.5106,12898.5,81.3,26.407,18077.1531,1760,334.3,7809.3
ED UN Equity,Consolidated Edison Inc,US,Utilities,69.39,70.01,-746,1098,13049,44971,3279,267,17.971,67.8921,12676,-3,19.391,20344.611,3393,641,13351
SCI UN Equity,Service Corp International/US,US,Consumer Discretionary,24.19,23.52,-82.559,249.212,1187.504,11653.121,457.752,303.703,20.4479,23.044,3000.44,0.118,25.935,4753.4753,844.014,172.734,2999.509
ZG UW Equity,Zillow Group Inc,US,Information Technology,21.67,23.15,0,-134.051,2673.441,3162.449,50.75,0.043,-23.6782,90.2519,567.636,-1.729,39.708,3714.0827,-70.46,#N/A N/A,-306.759
AFG UN Equity,American Financial Group Inc/OH,US,Financials,70.98,67.08,-173,350,4906,50557,1455,1377,10.2589,#N/A N/A,6063,#N/A N/A,18.262,6200.0395,#N/A N/A,77,-14
GLW UN Equity,Corning Inc,US,Information Technology,18.61,18.3,-671,2007,20070,28898,2957,1682,19.0758,40.8445,9284,99,30.619,22015.3415,2951,133,-997
VNTV UN Equity,Vantiv Inc,US,Information Technology,47.05,52.04,0,165.596,1288.931,6110.16,636.665,546.126,13.3419,53.6173,3041.389,-49.637,29.819,8997.7114,682.77,#N/A N/A,2852.474
PVH UN Equity,PVH Corp,US,Consumer Discretionary,73.38,79.15,-12.5,489.7,4545.6,10805.4,853.3,602,7.4054,52.1525,7976.6,19.1,41.089,6013.2047,841,121.3,2997.3
CMI UN Equity,Cummins Inc,US,Industrials,89.89,97.57,-594,1682,8081,15797,2009,1282,12.3958,25.7693,19434,-16,32.07,15966.3766,2917,64,-70
DHR UN Equity,Danaher Corp,US,Industrials,86.65,89.27,-331.9,3330.4,23183.8,49707.9,3809.6,3209.9,16.7115,52.4575,20069.4,-7.6,20.14,59379.9747,4352.3,130.1,13178.5
