RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
35,0,12/28/2009,ADESA,2005,4,CHEVROLET,AVALANCHE 1500 2WD V,150,4D SUV-PICKUP 5.3L,BLACK,AUTO,1.0,Alloy,78434,AMERICAN,LARGE TRUCK,GM,10272.0,12753.0,15509.0,17813.0,11671.0,13560.0,16535.0,18390.0,,,19638,33619,FL,10700.0,0,1272
36,1,12/28/2009,ADESA,2001,8,FORD,WINDSTAR FWD V6,LX,PASSENGER 3.8L LX,GOLD,AUTO,1.0,Alloy,82944,AMERICAN,VAN,FORD,1805.0,2423.0,4318.0,5562.0,1840.0,2640.0,4407.0,5530.0,,,19638,33619,FL,3600.0,0,2322
38,0,12/28/2009,ADESA,2003,6,HYUNDAI,SONATA V6,GLS,4D SEDAN,GOLD,AUTO,1.0,Alloy,55711,OTHER ASIAN,MEDIUM,OTHER,2742.0,3724.0,5794.0,6788.0,2719.0,3894.0,5549.0,6795.0,,,19638,33619,FL,5100.0,0,971
39,0,1/4/2010,ADESA,2005,5,CHRYSLER,300,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,76586,AMERICAN,SPECIALTY,CHRYSLER,7482.0,8662.0,11915.0,13794.0,8528.0,9943.0,12386.0,14079.0,,,19638,33619,FL,8200.0,0,1389
42,1,1/4/2010,ADESA,2005,5,NISSAN,SENTRA,Bas,4D SEDAN 1.8,SILVER,AUTO,,,86889,TOP LINE ASIAN,COMPACT,OTHER,4522.0,5544.0,8115.0,9156.0,4522.0,5544.0,8115.0,9156.0,,,19638,33619,FL,5200.0,0,594
43,0,1/11/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,SILVER,AUTO,1.0,Alloy,68990,AMERICAN,CROSSOVER,CHRYSLER,6109.0,7449.0,9669.0,11713.0,6695.0,8221.0,9519.0,11325.0,,,19619,33619,FL,8500.0,0,1215
44,0,1/11/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,GREY,AUTO,2.0,Covers,80949,AMERICAN,LARGE,GM,7868.0,9037.0,11742.0,13276.0,9017.0,10256.0,12810.0,14181.0,,,19619,33619,FL,7900.0,0,2152
47,0,1/11/2010,ADESA,2003,7,FORD,FOCUS,SE,4D SEDAN SE,SILVER,AUTO,1.0,Alloy,59858,AMERICAN,COMPACT,FORD,2599.0,3444.0,5894.0,7811.0,2788.0,3573.0,5724.0,6740.0,,,5546,33619,FL,4600.0,0,1220
50,1,1/11/2010,ADESA,2006,4,PONTIAC,G6 V6,GT,4D SEDAN GT,RED,AUTO,,,50227,AMERICAN,MEDIUM,GM,6630.0,7933.0,10660.0,12253.0,6630.0,7933.0,10660.0,12253.0,,,19619,33619,FL,7500.0,0,1003
52,0,1/18/2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GREY,MANUAL,2.0,Covers,58024,AMERICAN,MEDIUM,GM,4918.0,6168.0,8421.0,9638.0,5112.0,6101.0,8097.0,9389.0,,,20928,33619,FL,5600.0,0,671
53,0,1/18/2010,ADESA,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GOLD,AUTO,2.0,Covers,40919,AMERICAN,MEDIUM,GM,5456.0,6832.0,9488.0,11466.0,6189.0,7436.0,9696.0,11087.0,,,20928,33619,FL,7700.0,0,623
54,0,1/18/2010,ADESA,2005,5,DODGE,NEON,SE,4D SEDAN,SILVER,AUTO,2.0,Covers,87643,AMERICAN,COMPACT,CHRYSLER,2755.0,3566.0,6142.0,7154.0,3799.0,4833.0,6792.0,8018.0,,,19638,33619,FL,4600.0,0,723
55,0,1/18/2010,ADESA,2005,5,FORD,FOCUS,ZX3,2D COUPE ZX3,WHITE,MANUAL,2.0,Covers,80968,AMERICAN,COMPACT,FORD,3224.0,4345.0,6716.0,7871.0,3800.0,4823.0,6687.0,7947.0,,,19638,33619,FL,4600.0,0,1243
56,0,1/18/2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,SXT,4D SUV 4.7L,SILVER,AUTO,1.0,Alloy,50308,AMERICAN,MEDIUM SUV,CHRYSLER,8219.0,9414.0,12742.0,14018.0,8881.0,10454.0,13601.0,15016.0,,,20928,33619,FL,9635.0,0,1086
57,0,1/18/2010,ADESA,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,AUTO,1.0,Alloy,80795,AMERICAN,LARGE,FORD,8806.0,10982.0,12674.0,15188.0,9310.0,11131.0,12872.0,14881.0,,,19638,33619,FL,7700.0,0,1633
58,0,1/18/2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,Adv,4D SUV 4.7L ADVENTURER,RED,AUTO,1.0,Alloy,62239,AMERICAN,MEDIUM SUV,CHRYSLER,10883.0,12166.0,15586.0,16956.0,10883.0,12166.0,15340.0,16512.0,,,20928,33619,FL,9135.0,0,1215
59,1,1/18/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,GOLD,AUTO,1.0,Alloy,87008,AMERICAN,CROSSOVER,CHRYSLER,5925.0,7204.0,9121.0,10766.0,6372.0,7756.0,9650.0,10993.0,,,19638,33619,FL,6900.0,0,1503
60,0,1/18/2010,ADESA,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,GOLD,AUTO,1.0,Alloy,64060,OTHER ASIAN,MEDIUM,OTHER,6299.0,7569.0,10379.0,11857.0,6745.0,8174.0,10313.0,11802.0,,,20928,33619,FL,7535.0,0,728
61,0,1/18/2010,ADESA,2002,8,HYUNDAI,SONATA V6,Bas,4D SEDAN,BLUE,AUTO,2.0,Covers,77677,OTHER ASIAN,MEDIUM,OTHER,2136.0,3158.0,4773.0,6048.0,2895.0,4139.0,5498.0,6648.0,,,19638,33619,FL,4200.0,0,1103
62,0,1/18/2010,ADESA,2003,7,FORD,MUSTANG V6,Bas,2D COUPE,GREY,AUTO,1.0,Alloy,58888,AMERICAN,SPORTS,FORD,4064.0,5082.0,7662.0,8873.0,4001.0,5106.0,7566.0,8676.0,,,20928,33619,FL,6300.0,0,971
66,0,1/18/2010,ADESA,2004,6,DODGE,NEON,SXT,4D SEDAN,BLUE,AUTO,1.0,Alloy,64511,AMERICAN,COMPACT,CHRYSLER,2448.0,3259.0,5279.0,6228.0,2480.0,3280.0,5134.0,6144.0,,,19638,33619,FL,4100.0,0,630
67,1,1/18/2010,ADESA,2005,5,PONTIAC,GRAND PRIX,GXP,4D SEDAN GXP,PURPLE,AUTO,1.0,Alloy,75513,AMERICAN,LARGE,GM,10122.0,11913.0,13679.0,15574.0,9316.0,10419.0,13219.0,14612.0,,,20928,33619,FL,9100.0,0,1974
68,0,1/18/2010,ADESA,2006,4,CHRYSLER,SEBRING V6,Tou,4D SEDAN,BLACK,AUTO,1.0,Alloy,80608,AMERICAN,MEDIUM,CHRYSLER,4407.0,5646.0,8657.0,10097.0,4226.0,5421.0,8125.0,9403.0,,,19638,33619,FL,5800.0,0,1373
72,0,1/25/2010,ADESA,2007,3,JEEP,LIBERTY 2WD V6,Spo,4D SUV,BLACK,AUTO,1.0,Alloy,70148,AMERICAN,SMALL SUV,CHRYSLER,9670.0,10949.0,14609.0,16541.0,10037.0,11627.0,14218.0,15701.0,,,19619,33619,FL,7300.0,0,686
73,0,1/25/2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GOLD,AUTO,2.0,Covers,76052,AMERICAN,MEDIUM,GM,5034.0,6206.0,8358.0,9604.0,5265.0,6275.0,8540.0,10178.0,,,19619,33619,FL,4900.0,0,803
74,0,1/25/2010,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,RED,AUTO,1.0,Alloy,72479,OTHER ASIAN,MEDIUM,OTHER,3620.0,4720.0,6484.0,8037.0,4439.0,5373.0,7460.0,9030.0,,,5546,33619,FL,4600.0,0,569
75,0,1/25/2010,ADESA,2005,5,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,2.0,Covers,84542,AMERICAN,MEDIUM,FORD,3214.0,4157.0,6109.0,7379.0,3713.0,4578.0,6942.0,8242.0,,,5546,33619,FL,4500.0,0,983
76,0,1/25/2010,ADESA,2005,5,DODGE,DAKOTA PICKUP 2WD V6,ST,QUAD CAB 3.7L ST,SILVER,AUTO,1.0,Alloy,61081,AMERICAN,SMALL TRUCK,CHRYSLER,6208.0,7176.0,10055.0,11247.0,7470.0,8553.0,11393.0,12672.0,,,19619,33619,FL,5900.0,0,1020
77,1,1/25/2010,ADESA,2001,9,CHEVROLET,TAHOE 2WD,Bas,4D SUV 5.3L,WHITE,AUTO,1.0,Alloy,86483,AMERICAN,LARGE SUV,GM,5498.0,6393.0,8910.0,9822.0,6614.0,7649.0,9808.0,10913.0,,,19619,33619,FL,8300.0,0,2063
79,0,1/25/2010,ADESA,2006,4,JEEP,LIBERTY 2WD V6,Spo,4D SUV,RED,AUTO,1.0,Alloy,57338,AMERICAN,SMALL SUV,CHRYSLER,8597.0,10149.0,12331.0,13928.0,8931.0,10567.0,12439.0,13962.0,,,19619,33619,FL,7500.0,0,588
80,1,1/25/2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,SILVER,AUTO,,,59425,AMERICAN,LARGE SUV,FORD,6216.0,7470.0,9763.0,11452.0,6468.0,7813.0,10017.0,11930.0,,,19619,33619,FL,8700.0,0,1137
82,0,1/25/2010,ADESA,2003,7,HONDA,ELEMENT 2WD,EX,4D SPORT UTILITY EX,BLUE,AUTO,1.0,Alloy,78559,TOP LINE ASIAN,SMALL SUV,OTHER,6412.0,7495.0,10072.0,11343.0,7166.0,8201.0,10148.0,11289.0,,,19619,33619,FL,8000.0,0,986
83,0,1/25/2010,ADESA,2007,3,CHEVROLET,HHR,LT,4D SUV 2.2L LT,ORANGE,AUTO,1.0,Alloy,48386,AMERICAN,MEDIUM,GM,7470.0,9106.0,11322.0,13321.0,8333.0,9667.0,12066.0,12969.0,,,19619,33619,FL,7200.0,0,623
84,0,1/25/2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,GOLD,AUTO,1.0,Alloy,80117,AMERICAN,LARGE SUV,FORD,6216.0,7470.0,9763.0,11452.0,7750.0,8899.0,11407.0,13098.0,,,5546,33619,FL,8100.0,0,1413
85,0,1/25/2010,ADESA,2004,6,PONTIAC,SUNFIRE,SE,2D COUPE,BLUE,MANUAL,1.0,Alloy,65795,AMERICAN,COMPACT,GM,2765.0,3641.0,5545.0,7302.0,3121.0,3910.0,6035.0,6548.0,,,5546,33619,FL,3100.0,0,1020
87,0,1/25/2010,ADESA,2004,6,FORD,TAURUS,SES,4D SEDAN SES,GREY,AUTO,1.0,Alloy,88366,AMERICAN,MEDIUM,FORD,2575.0,3529.0,5601.0,7007.0,2513.0,3482.0,5266.0,6652.0,,,5546,33619,FL,4400.0,0,983
88,0,1/25/2010,ADESA,2005,5,FORD,FREESTYLE 2WD V6,SEL,4D CUV 3.0L SEL,GOLD,AUTO,1.0,Alloy,55909,AMERICAN,CROSSOVER,FORD,7350.0,8513.0,12016.0,13918.0,8320.0,9344.0,12490.0,13398.0,,,5546,33619,FL,8500.0,0,1169
89,0,2/1/2010,ADESA,2005,5,FORD,F150 PICKUP 2WD V8,Lar,CREW CAB 5.4L KING RANCH,GREY,AUTO,1.0,Alloy,86702,AMERICAN,LARGE TRUCK,FORD,12004.0,15664.0,17400.0,21702.0,11520.0,14974.0,16133.0,19975.0,,,19638,33619,FL,10100.0,0,853
91,0,2/1/2010,ADESA,2004,6,NISSAN,ALTIMA,Bas,4D SEDAN,GREEN,AUTO,2.0,Covers,65379,TOP LINE ASIAN,MEDIUM,OTHER,4704.0,5612.0,7671.0,8988.0,5747.0,6830.0,9091.0,10242.0,,,19638,33619,FL,7700.0,0,630
92,0,2/1/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER EXT 2WD,LT,4D SUV 4.2L LS,RED,AUTO,1.0,Alloy,74954,AMERICAN,MEDIUM SUV,GM,6115.0,7807.0,10007.0,11980.0,6860.0,8150.0,10219.0,11276.0,,,19638,33619,FL,8900.0,0,1155
93,0,2/1/2010,ADESA,2002,8,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,GOLD,AUTO,1.0,Alloy,49328,AMERICAN,MEDIUM SUV,GM,4081.0,5039.0,7246.0,8315.0,5204.0,6130.0,8011.0,8587.0,,,19638,33619,FL,7400.0,0,1134
94,0,2/1/2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,SILVER,MANUAL,2.0,Covers,73810,AMERICAN,COMPACT,GM,2105.0,2967.0,4771.0,5707.0,2659.0,3600.0,5185.0,5987.0,,,5546,33619,FL,4100.0,0,1455
98,1,2/8/2010,ADESA,2002,8,FORD,MUSTANG V6,Bas,2D COUPE,WHITE,AUTO,1.0,Alloy,64822,AMERICAN,SPORTS,FORD,3442.0,4419.0,6382.0,7874.0,4347.0,5324.0,7185.0,8419.0,,,5546,33619,FL,6100.0,0,1028
99,0,2/8/2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,PURPLE,AUTO,1.0,Alloy,80491,AMERICAN,LARGE TRUCK,CHRYSLER,6601.0,8123.0,10917.0,12227.0,7456.0,9222.0,11374.0,12791.0,,,5546,33619,FL,9400.0,0,983
101,0,2/8/2010,ADESA,2006,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN,SILVER,AUTO,2.0,Covers,65711,AMERICAN,MEDIUM,CHRYSLER,5039.0,6214.0,8160.0,9556.0,5418.0,6429.0,8649.0,9719.0,,,19638,33619,FL,4700.0,0,1215
102,0,2/8/2010,ADESA,2005,5,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 5.7L SLT,GREY,AUTO,1.0,Alloy,56064,AMERICAN,LARGE TRUCK,CHRYSLER,9202.0,11302.0,13865.0,15718.0,9922.0,12211.0,14344.0,16829.0,,,19638,33619,FL,11300.0,0,754
103,0,2/8/2010,ADESA,2006,4,CHRYSLER,300,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,62230,AMERICAN,SPECIALTY,CHRYSLER,9090.0,10656.0,13016.0,14681.0,10119.0,11611.0,14134.0,15616.0,,,5546,33619,FL,10100.0,0,1215
104,0,2/8/2010,ADESA,2007,3,SUZUKI,FORENZA,,4D SEDAN,WHITE,AUTO,2.0,Covers,62190,OTHER ASIAN,MEDIUM,OTHER,5207.0,5979.0,8864.0,10179.0,5406.0,6277.0,8550.0,9832.0,,,19638,33619,FL,5400.0,0,533
105,0,2/8/2010,ADESA,2005,5,DODGE,DURANGO 2WD V6,ST,4D SUV 3.7L,RED,AUTO,2.0,Covers,67426,AMERICAN,MEDIUM SUV,CHRYSLER,7224.0,8875.0,10726.0,12073.0,7790.0,9457.0,11442.0,12995.0,,,19638,33619,FL,9400.0,0,1118
107,0,2/15/2010,ADESA,2005,5,CHEVROLET,IMPALA,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,88991,AMERICAN,LARGE,GM,4343.0,5452.0,7626.0,8987.0,4352.0,5620.0,7033.0,8788.0,,,5546,33619,FL,5900.0,0,2152
108,0,2/15/2010,ADESA,2007,3,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 4.7L FFV BIG HORN,RED,AUTO,1.0,Alloy,89849,AMERICAN,LARGE TRUCK,CHRYSLER,12075.0,14451.0,16932.0,18439.0,15107.0,17357.0,19483.0,21861.0,,,19638,33619,FL,9900.0,0,983
109,0,2/15/2010,ADESA,2006,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,BLUE,AUTO,1.0,Alloy,81338,AMERICAN,MEDIUM SUV,GM,8890.0,10815.0,13062.0,14346.0,9240.0,11797.0,13807.0,16073.0,,,19638,33619,FL,7900.0,0,1243
111,0,2/15/2010,ADESA,2002,8,OLDSMOBILE,ALERO 4C,GL,4D SEDAN GL1,BROWN,AUTO,2.0,Covers,77233,AMERICAN,MEDIUM,GM,2072.0,2862.0,5511.0,7612.0,2099.0,3193.0,4617.0,5559.0,,,5546,33619,FL,4600.0,0,1806
112,0,2/15/2010,ADESA,2005,5,FORD,MUSTANG V6,Bas,2D COUPE,RED,AUTO,1.0,Alloy,66681,AMERICAN,SPORTS,FORD,8153.0,9182.0,11607.0,12883.0,8348.0,9174.0,11330.0,12474.0,,,5546,33619,FL,9500.0,0,728
114,0,2/22/2010,ADESA,2007,3,TOYOTA,CAMRY V6,LE,4D SEDAN LE,BLUE,AUTO,2.0,Covers,81930,TOP LINE ASIAN,MEDIUM,OTHER,10573.0,12032.0,16795.0,17453.0,10472.0,11521.0,15961.0,16874.0,,,20928,33619,FL,9700.0,0,594
118,0,2/22/2010,ADESA,2005,5,CHEVROLET,EQUINOX FWD V6,LS,4D SUV LS,SILVER,AUTO,1.0,Alloy,71423,AMERICAN,MEDIUM SUV,GM,7174.0,8314.0,10657.0,11866.0,7672.0,8960.0,10866.0,12399.0,,,19064,33619,FL,8800.0,0,1389
119,0,2/22/2010,ADESA,2004,6,CHEVROLET,IMPALA,Bas,4D SEDAN,MAROON,AUTO,2.0,Covers,64650,AMERICAN,LARGE,GM,3898.0,4943.0,6977.0,8501.0,4102.0,5333.0,6923.0,8206.0,,,5546,33619,FL,6800.0,0,1703
121,0,2/22/2010,ADESA,2004,6,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,BLUE,AUTO,2.0,Covers,95443,AMERICAN,COMPACT,GM,2953.0,3810.0,6832.0,8814.0,2761.0,3702.0,5849.0,7843.0,,,5546,33619,FL,4300.0,0,1341
125,0,2/22/2010,ADESA,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLACK,AUTO,1.0,Alloy,71062,AMERICAN,LARGE,GM,7939.0,9414.0,11525.0,13317.0,8305.0,10003.0,11625.0,13681.0,,,20928,33619,FL,8200.0,0,1974
126,0,2/22/2010,ADESA,2006,4,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,2.0,Covers,80999,AMERICAN,LARGE,GM,7058.0,8082.0,10569.0,11668.0,7476.0,8507.0,10586.0,11882.0,,,5546,33619,FL,7900.0,0,2152
127,0,2/22/2010,ADESA,2007,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,BLUE,AUTO,1.0,Alloy,66545,AMERICAN,VAN,CHRYSLER,9693.0,12057.0,13671.0,15991.0,11871.0,14671.0,15959.0,18815.0,,,20928,33619,FL,7800.0,0,1411
129,0,2/22/2010,ADESA,2007,3,MAZDA,MAZDA6,i,4D SEDAN I,MAROON,AUTO,1.0,Alloy,71952,OTHER ASIAN,MEDIUM,OTHER,9653.0,10778.0,13469.0,14600.0,9983.0,11249.0,13424.0,14541.0,,,20928,33619,FL,7500.0,0,1272
133,0,3/1/2010,ADESA,2005,5,FORD,TAURUS,SE,4D SEDAN SE,SILVER,AUTO,2.0,Covers,54268,AMERICAN,MEDIUM,FORD,3739.0,4624.0,7003.0,8485.0,3717.0,4782.0,6631.0,7823.0,,,5546,33619,FL,5200.0,0,754
136,0,3/1/2010,ADESA,2004,6,JEEP,LIBERTY 2WD V6,Lim,4D SUV LIMITED,RED,AUTO,1.0,Alloy,64677,AMERICAN,SMALL SUV,CHRYSLER,7102.0,8063.0,12790.0,14520.0,7139.0,8084.0,12944.0,14657.0,,,19638,33619,FL,8500.0,0,630
137,0,3/1/2010,ADESA,2003,7,FORD,TAURUS,SE,4D SEDAN SE,BLUE,AUTO,1.0,Alloy,68874,AMERICAN,MEDIUM,FORD,2974.0,3997.0,5798.0,6935.0,2811.0,3840.0,5432.0,6811.0,,,5546,33619,FL,4100.0,0,1125
138,1,3/1/2010,ADESA,2003,7,FORD,FOCUS,SE,4D WAGON,GREEN,AUTO,1.0,Alloy,64554,AMERICAN,COMPACT,FORD,3129.0,4254.0,5786.0,6924.0,2902.0,3721.0,5946.0,6848.0,,,19638,33619,FL,5300.0,0,1320
139,0,3/1/2010,ADESA,2005,5,MAZDA,MAZDA3,s,5D SEDAN GS,GREY,MANUAL,1.0,Alloy,73988,OTHER ASIAN,MEDIUM,OTHER,8028.0,9851.0,11138.0,12800.0,5758.0,7668.0,9388.0,12501.0,,,19638,33619,FL,7135.0,0,1038
140,0,3/1/2010,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,WHITE,MANUAL,2.0,Covers,23881,OTHER ASIAN,MEDIUM,OTHER,4325.0,5406.0,7860.0,9824.0,4165.0,5171.0,7855.0,9752.0,,,19638,33619,FL,6200.0,0,462
