Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30873605,06/18/2015 01:55:06 AM,,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10468,,,,,WEST FORDHAM ROAD,ANDREWS AVENUE,INTERSECTION,BRONX,,N/A,Open,06/28/2015 01:55:06 AM,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,07 BRONX,BRONX,1010207,253625,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86277856726754,-73.90615817658505,"(40.86277856726754, -73.90615817658505)"
30870981,06/18/2015 01:54:53 AM,06/18/2015 03:12:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11216,303 HALSEY STREET,HALSEY STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 09:54:53 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2015 03:12:10 AM,03 BROOKLYN,BROOKLYN,1000774,188081,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68290024152957,-73.94042226358432,"(40.68290024152957, -73.94042226358432)"
30871980,06/18/2015 01:54:27 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1460 WEST 5 STREET,WEST 5 STREET,65 STREET,AVENUE O,,,ADDRESS,BROOKLYN,,Precinct,Assigned,06/18/2015 09:54:27 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:02:06 AM,11 BROOKLYN,BROOKLYN,989984,162088,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61156865050691,-73.97934799766453,"(40.61156865050691, -73.97934799766453)"
30868767,06/18/2015 01:54:21 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11354,40-30 MURRAY STREET,MURRAY STREET,ROOSEVELT AVENUE,41 AVENUE,,,ADDRESS,FLUSHING,,Precinct,Assigned,06/18/2015 09:54:21 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:15:47 AM,07 QUEENS,QUEENS,1036131,217594,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.763769469053216,-73.81271437612982,"(40.763769469053216, -73.81271437612982)"
30874170,06/18/2015 01:53:48 AM,06/18/2015 02:10:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10009,113 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 09:53:48 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2015 02:10:29 AM,03 MANHATTAN,MANHATTAN,988524,204253,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.727302963241954,-73.98457970881718,"(40.727302963241954, -73.98457970881718)"
30874846,06/18/2015 01:53:15 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,2370 1 AVENUE,1 AVENUE,EAST 120 STREET,PLEASANT AVENUE,,,ADDRESS,NEW YORK,,Precinct,Open,06/18/2015 09:53:15 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,11 MANHATTAN,MANHATTAN,1002851,230577,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79953700917485,-73.93281607114014,"(40.79953700917485, -73.93281607114014)"
30874186,06/18/2015 01:50:23 AM,06/18/2015 02:31:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,111 MACDOUGAL STREET,MACDOUGAL STREET,BLEECKER STREET,MINETTA LANE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 09:50:23 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2015 02:31:37 AM,02 MANHATTAN,MANHATTAN,984068,205169,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72981819035102,-74.00065666797178,"(40.72981819035102, -74.00065666797178)"
30873863,06/18/2015 01:47:46 AM,06/18/2015 02:59:48 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,,,,,PUTNAM AVENUE,60 LANE,INTERSECTION,RIDGEWOOD,,Precinct,Closed,06/18/2015 09:47:46 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2015 02:58:56 AM,05 QUEENS,QUEENS,1012268,196514,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70601793699552,-73.89894528315699,"(40.70601793699552, -73.89894528315699)"
30868711,06/18/2015 01:47:05 AM,06/18/2015 02:07:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10010,EAST 24 STREET,EAST 24 STREET,LEXINGTON AVENUE,3 AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,06/18/2015 09:47:05 AM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,06/18/2015 02:07:21 AM,06 MANHATTAN,MANHATTAN,988833,208818,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73983261048124,-73.98346174903759,"(40.73983261048124, -73.98346174903759)"
30869602,06/18/2015 01:46:42 AM,,DOT,Department of Transportation,Ferry Complaint,General Complaint,Terminal,,,,,,,,,,,N/A,Open,08/17/2015 01:46:42 AM,The Department of Transportation requires 60 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,N/A,Whitehall Terminal (Manhattan),,,
30869743,06/18/2015 01:46:39 AM,,NYPD,NYPD,Noise - Commercial,Car/Truck Horn,Store/Commercial,,60TH STREET,60TH STREET,NORTHERN BLVD,,Northern Blvd,,,,,,Unassigned,06/18/2015 09:46:39 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
30868580,06/18/2015 01:44:27 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11206,267 THROOP AVENUE,THROOP AVENUE,VERNON AVENUE,WILLOUGHBY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,06/18/2015 09:44:27 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 03:13:06 AM,03 BROOKLYN,BROOKLYN,999986,192367,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69466576019794,-73.94325340760429,"(40.69466576019794, -73.94325340760429)"
30870231,06/18/2015 01:42:57 AM,,DOT,Department of Transportation,Street Condition,Cave-in,Street,10305,18 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,LILY POND AVENUE,ROBIN ROAD,,,ADDRESS,STATEN ISLAND,,N/A,Open,06/28/2015 01:42:57 AM,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,02 STATEN ISLAND,STATEN ISLAND,967035,156455,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.596092349152194,-74.06198846254166,"(40.596092349152194, -74.06198846254166)"
30874141,06/18/2015 01:42:23 AM,06/18/2015 02:42:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,617 GRAND STREET,GRAND STREET,LORIMER STREET,LEONARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 09:42:23 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 02:42:26 AM,01 BROOKLYN,BROOKLYN,998780,198427,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71130109693363,-73.94758936481588,"(40.71130109693363, -73.94758936481588)"
30870921,06/18/2015 01:39:51 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,1557 WEST 8 STREET,WEST 8 STREET,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,Precinct,Assigned,06/18/2015 09:39:51 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 01:50:27 AM,11 BROOKLYN,BROOKLYN,989286,161218,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.609181103501285,-73.98186261527607,"(40.609181103501285, -73.98186261527607)"
30869779,06/18/2015 01:38:53 AM,,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10022,,,,,2 AVENUE,EAST   60 STREET,INTERSECTION,NEW YORK,,Precinct,Assigned,06/18/2015 09:38:53 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:05:13 AM,08 MANHATTAN,MANHATTAN,994255,216617,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76123442230889,-73.9638842741059,"(40.76123442230889, -73.9638842741059)"
30873762,06/18/2015 01:38:50 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10026,114 WEST 114 STREET,WEST 114 STREET,LENOX AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,06/18/2015 09:38:50 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 01:44:11 AM,10 MANHATTAN,MANHATTAN,997591,231181,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8012043311688,-73.95181317119345,"(40.8012043311688, -73.95181317119345)"
30870784,06/18/2015 01:37:42 AM,06/18/2015 03:22:53 AM,NYPD,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,11221,1266 JEFFERSON AVENUE,JEFFERSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 09:37:42 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2015 01:49:23 AM,04 BROOKLYN,BROOKLYN,1008514,191424,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69205817216135,-73.91250345691074,"(40.69205817216135, -73.91250345691074)"
30872496,06/18/2015 01:37:17 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,33-16 106 STREET,106 STREET,NORTHERN BOULEVARD,34 AVENUE,,,ADDRESS,CORONA,,Precinct,Assigned,06/18/2015 09:37:17 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:52:49 AM,03 QUEENS,QUEENS,1022277,215222,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75732939063869,-73.86273935861367,"(40.75732939063869, -73.86273935861367)"
30874115,06/18/2015 01:36:57 AM,,NYPD,NYPD,Noise - Commercial,Banging/Pounding,Store/Commercial,,228-47-228 MERRICK BOULEVARD,MERRICK BOULEVARD,,,,,,,,,Unassigned,06/18/2015 09:36:57 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
30872243,06/18/2015 01:36:54 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,114 WEST 114 STREET,WEST 114 STREET,LENOX AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,06/18/2015 09:36:54 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 01:43:09 AM,10 MANHATTAN,MANHATTAN,997591,231181,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8012043311688,-73.95181317119345,"(40.8012043311688, -73.95181317119345)"
30873665,06/18/2015 01:36:18 AM,,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11203,,,,,BROOKLYN AVENUE,WINTHROP STREET,INTERSECTION,BROOKLYN,,Precinct,Assigned,06/18/2015 09:36:18 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 01:53:33 AM,09 BROOKLYN,BROOKLYN,999484,178801,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65743103535159,-73.94509436495501,"(40.65743103535159, -73.94509436495501)"
30875315,06/18/2015 01:36:02 AM,06/18/2015 01:56:44 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10032,504 WEST 164 STREET,WEST 164 STREET,AMSTERDAM AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 09:36:02 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2015 01:56:44 AM,12 MANHATTAN,MANHATTAN,1001081,244357,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.837362772750915,-73.93917447462871,"(40.837362772750915, -73.93917447462871)"
30876621,06/18/2015 01:27:03 AM,,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11226,,,,,DORCHESTER ROAD,FLATBUSH AVENUE,INTERSECTION,BROOKLYN,,N/A,Open,09/16/2015 01:27:03 AM,The Department of Transportation requires 90 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,14 BROOKLYN,BROOKLYN,996055,173313,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.642372903871255,-73.95746260122323,"(40.642372903871255, -73.95746260122323)"
30874228,06/18/2015 01:23:25 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11236,1226 EAST 87 STREET,EAST 87 STREET,AVENUE L,AVENUE M,,,ADDRESS,BROOKLYN,,Precinct,Open,06/18/2015 09:23:25 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,18 BROOKLYN,BROOKLYN,1011426,170035,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63334167321696,-73.90208893660264,"(40.63334167321696, -73.90208893660264)"
30874092,06/18/2015 01:22:28 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Toilet Facility,Restaurant/Bar/Deli/Bakery,11365,61-09 190 STREET,190 STREET,LONG ISLAND EXPRESSWAY,DEAD END,,,ADDRESS,FRESH MEADOWS,,N/A,Open,07/25/2015 01:22:28 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type may result in agency contact and/or investigation at the time of a routine inspection.  Status will be available 37 days after the date of your complaint by calling 311. Please note your Service Request number for future reference.,,08 QUEENS,QUEENS,1043928,209308,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74097737272804,-73.78464156943664,"(40.74097737272804, -73.78464156943664)"
30873237,06/18/2015 01:21:45 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10065,EAST 61 STREET,EAST 61 STREET,SECOND AVENUE,FIRST AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Assigned,06/18/2015 09:21:45 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:05:14 AM,08 MANHATTAN,MANHATTAN,994518,216768,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.761648576950144,-73.96293467467174,"(40.761648576950144, -73.96293467467174)"
30874254,06/18/2015 01:21:40 AM,06/18/2015 01:41:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,66 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 113 STREET,WEST 114 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 09:21:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 01:41:03 AM,10 MANHATTAN,MANHATTAN,997395,231146,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80110855951637,-73.95252117889214,"(40.80110855951637, -73.95252117889214)"
