Date,Price,YTD,Citi,HSBC,Morgan Stanley,Nomura,JPMorgan,Credit Suisse,Macquarie,Barclays,Standard Chartered,BNP Paribas Equity Research,Jefferies,China International Capital Corp,BofAML,UBS,Goldman Sachs
2/4/2012,11.48,0.136633663,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/5/2012,11.48,0.136633663,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/6/2012,11.5,0.138613861,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/7/2012,11.6,0.148514851,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/8/2012,11.86,0.174257426,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/9/2012,11.78,0.166336634,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/10/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/11/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/12/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/13/2012,11.6,0.148514851,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/14/2012,11.58,0.146534653,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/15/2012,11.66,0.154455446,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/16/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/17/2012,11.66,0.154455446,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/18/2012,11.66,0.154455446,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/19/2012,11.66,0.154455446,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/20/2012,11.5,0.138613861,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/21/2012,11.44,0.132673267,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/22/2012,11.6,0.148514851,buy,underweight,Equalwt/Attractive,reduce,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/23/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/24/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/25/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/26/2012,11.56,0.144554455,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/27/2012,11.5,0.138613861,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/28/2012,11.78,0.166336634,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
2/29/2012,11.74,0.162376238,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/1/2012,11.68,0.156435644,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/2/2012,11.76,0.164356436,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/3/2012,11.76,0.164356436,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/4/2012,11.76,0.164356436,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/5/2012,11.44,0.132673267,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/6/2012,11.18,0.106930693,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/7/2012,11.22,0.110891089,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/8/2012,11.38,0.126732673,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/9/2012,11.54,0.142574257,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/10/2012,11.54,0.142574257,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/11/2012,11.54,0.142574257,buy,underweight,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/12/2012,11.52,0.140594059,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/13/2012,11.7,0.158415842,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/14/2012,11.6,0.148514851,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/15/2012,11.5,0.138613861,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/16/2012,11.38,0.126732673,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/17/2012,11.38,0.126732673,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/18/2012,11.38,0.126732673,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/19/2012,11.32,0.120792079,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/20/2012,11.18,0.106930693,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/21/2012,11.16,0.104950495,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/22/2012,11.04,0.093069307,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/23/2012,11.04,0.093069307,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/24/2012,11.04,0.093069307,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/25/2012,11.04,0.093069307,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/26/2012,11.12,0.100990099,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/27/2012,11.3,0.118811881,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/28/2012,10.96,0.085148515,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/29/2012,10.74,0.063366337,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/30/2012,10.98,0.087128713,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
3/31/2012,10.98,0.087128713,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/1/2012,10.98,0.087128713,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/2/2012,10.96,0.085148515,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/3/2012,11.14,0.102970297,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/4/2012,11.14,0.102970297,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/5/2012,11,0.089108911,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/6/2012,11,0.089108911,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/7/2012,11,0.089108911,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/8/2012,11,0.089108911,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/9/2012,11,0.089108911,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/10/2012,10.86,0.075247525,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,neutral-s/t sell,neutral/neutral
4/11/2012,10.7,0.059405941,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/12/2012,10.84,0.073267327,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/13/2012,11.06,0.095049505,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/14/2012,11.06,0.095049505,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/15/2012,11.06,0.095049505,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/16/2012,11.02,0.091089109,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/17/2012,11.04,0.093069307,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/18/2012,11.3,0.118811881,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/19/2012,11.44,0.132673267,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/20/2012,11.4,0.128712871,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/21/2012,11.4,0.128712871,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/22/2012,11.4,0.128712871,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/23/2012,11.2,0.108910891,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/24/2012,11.22,0.110891089,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/25/2012,11.14,0.102970297,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/26/2012,11.3,0.118811881,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/27/2012,11.64,0.152475248,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/28/2012,11.64,0.152475248,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/29/2012,11.64,0.152475248,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
4/30/2012,11.76,0.164356436,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/1/2012,11.76,0.164356436,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/2/2012,11.72,0.16039604,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/3/2012,11.56,0.144554455,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/4/2012,11.34,0.122772277,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/5/2012,11.34,0.122772277,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/6/2012,11.34,0.122772277,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/7/2012,10.96,0.085148515,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/8/2012,10.88,0.077227723,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/9/2012,10.74,0.063366337,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/10/2012,10.52,0.041584158,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/11/2012,10.44,0.033663366,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/12/2012,10.44,0.033663366,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/13/2012,10.44,0.033663366,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/14/2012,10.26,0.015841584,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/15/2012,10.52,0.041584158,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/16/2012,10.12,0.001980198,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/17/2012,10.12,0.001980198,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/18/2012,10.1,0,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/19/2012,10.1,0,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/20/2012,10.1,0,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/21/2012,10.16,0.005940594,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/22/2012,10.22,0.011881188,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/23/2012,10.14,0.003960396,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/24/2012,10.08,-0.001980198,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/25/2012,10.18,0.007920792,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/26/2012,10.18,0.007920792,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/27/2012,10.18,0.007920792,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/28/2012,10.2,0.00990099,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/29/2012,10.28,0.017821782,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/30/2012,9.88,-0.021782178,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
5/31/2012,9.82,-0.027722772,buy,neutral,Equalwt/Attractive,reduce,underweight,outperform,outperform,overwt/positive,in-line,hold,buy,accumulate,buy,buy,neutral/neutral
