customerid,datecreated,source,mailinglist,testgroup,orgid,parentid
4246,1339554522, ORG_INVITE         ,0,0,143,4246
264,1339555097, GUEST_INVITE       ,0,0,286,431
9601,1339555215, ORG_INVITE         ,1,0,121,295
4689,1339556287, ORG_INVITE         ,1,0,241,8843
4570,1339559107, SIGNUP_GOOGLE_AUTH ,0,1,362,               NULL 
9434,1339561062, ORG_INVITE         ,1,0,118,11137
879,1339562603, GUEST_INVITE       ,1,1,317,9402
11225,1339578715, ORG_INVITE         ,0,0,341,11225
9481,1339583776, GUEST_INVITE       ,1,1,388,9571
1420,1339593885, SIGNUP             ,0,0,0,               NULL 
1083,1339595886, GUEST_INVITE       ,0,0,74,10053
11605,1339618445, SIGNUP_GOOGLE_AUTH ,0,0,390,               NULL 
8261,1339627060, SIGNUP             ,1,0,407,               NULL 
11466,1339633908, SIGNUP             ,0,0,35,               NULL 
8787,1339634936, ORG_INVITE         ,0,0,74,7716
6965,1339639148, ORG_INVITE         ,1,1,56,3653
2714,1339654161, SIGNUP_GOOGLE_AUTH ,0,0,125,               NULL 
2803,1339665159, ORG_INVITE         ,0,0,369,6713
11618,1339669404, SIGNUP             ,1,0,66,               NULL 
6575,1339689108, PERSONAL_PROJECTS  ,0,0,194,               NULL 
8513,1339689646, GUEST_INVITE       ,0,0,127,2520
1552,1339690187, PERSONAL_PROJECTS  ,0,0,15,               NULL 
6134,1339697881, ORG_INVITE         ,0,0,19,9349
10783,1339706191, SIGNUP_GOOGLE_AUTH ,0,0,319,               NULL 
8375,1339709386, GUEST_INVITE       ,1,0,215,8375
7836,1339715659, PERSONAL_PROJECTS  ,0,0,307,               NULL 
1465,1339722954, SIGNUP             ,1,1,267,               NULL 
8038,1339725264, GUEST_INVITE       ,0,0,231,510
9286,1339747224, ORG_INVITE         ,0,0,64,10542
7023,1339749750, ORG_INVITE         ,0,0,61,7023
408,1339754730, SIGNUP             ,0,0,98,               NULL 
4582,1339768182, GUEST_INVITE       ,0,0,201,4582
8074,1339771499, SIGNUP             ,1,1,83,               NULL 
1321,1339771560, ORG_INVITE         ,0,0,180,7663
4202,1339775568, GUEST_INVITE       ,0,0,2,7791
10536,1339782064, SIGNUP_GOOGLE_AUTH ,1,1,145,               NULL 
8416,1339796036, GUEST_INVITE       ,0,0,26,4559
3642,1339797548, ORG_INVITE         ,0,0,152,4824
7973,1339808553, GUEST_INVITE       ,0,0,12,7973
1280,1339815085, ORG_INVITE         ,1,1,332,294
11371,1339815351, GUEST_INVITE       ,0,0,384,6054
7735,1339827986, SIGNUP             ,0,0,378,               NULL 
1423,1339833513, ORG_INVITE         ,1,0,168,3943
11119,1339834987, GUEST_INVITE       ,0,0,294,1316
8939,1339839407, PERSONAL_PROJECTS  ,1,1,112,               NULL 
8263,1339846147, SIGNUP             ,0,0,89,               NULL 
5422,1339851788, PERSONAL_PROJECTS  ,0,0,90,               NULL 
9402,1339853037, ORG_INVITE         ,0,0,317,879
6168,1339854290, ORG_INVITE         ,0,0,83,4231
2457,1339857120, PERSONAL_PROJECTS  ,0,0,288,               NULL 
4031,1339861740, SIGNUP             ,0,0,30,               NULL 
2316,1339862559, ORG_INVITE         ,0,0,368,4489
1945,1339869850, PERSONAL_PROJECTS  ,0,0,115,               NULL 
10968,1339870608, ORG_INVITE         ,0,0,165,450
9330,1339873694, ORG_INVITE         ,0,0,145,9330
3732,1339877513, SIGNUP             ,0,0,91,               NULL 
8167,1339891204, PERSONAL_PROJECTS  ,0,0,8,               NULL 
8726,1339895757, SIGNUP_GOOGLE_AUTH ,0,0,11,               NULL 
4835,1339902450, SIGNUP             ,1,0,251,               NULL 
5242,1339902528, ORG_INVITE         ,0,1,245,241
5545,1339918797, ORG_INVITE         ,0,0,126,10998
8365,1339918903, SIGNUP             ,0,0,349,               NULL 
8503,1339919572, PERSONAL_PROJECTS  ,1,0,6,               NULL 
8804,1339930004, SIGNUP_GOOGLE_AUTH ,0,0,29,               NULL 
4430,1339932568, PERSONAL_PROJECTS  ,0,0,200,               NULL 
4762,1339953100, ORG_INVITE         ,0,0,3,4269
2986,1339958204, ORG_INVITE         ,1,1,149,1784
5107,1339962196, PERSONAL_PROJECTS  ,0,0,1,               NULL 
11602,1339967097, GUEST_INVITE       ,0,0,147,4174
11847,1339969683, ORG_INVITE         ,1,1,9,2629
906,1339973392, SIGNUP_GOOGLE_AUTH ,0,0,358,               NULL 
2527,1339987504, PERSONAL_PROJECTS  ,0,0,57,               NULL 
7667,1339990983, SIGNUP_GOOGLE_AUTH ,1,0,412,               NULL 
10741,1339999988, ORG_INVITE         ,0,0,100,10741
1516,1340009293, PERSONAL_PROJECTS  ,0,0,187,               NULL 
7012,1340010187, PERSONAL_PROJECTS  ,0,0,16,               NULL 
11804,1340011244, GUEST_INVITE       ,0,0,26,11804
6978,1340033152, PERSONAL_PROJECTS  ,0,0,194,               NULL 
5723,1340033237, GUEST_INVITE       ,0,0,18,6814
2175,1340037574, GUEST_INVITE       ,0,0,8,11182
3316,1340039751, PERSONAL_PROJECTS  ,1,1,205,               NULL 
4337,1340041832, ORG_INVITE         ,0,0,102,3689
8146,1340053323, ORG_INVITE         ,0,0,373,336
4269,1340058976, ORG_INVITE         ,0,0,3,11898
6171,1340071525, GUEST_INVITE       ,1,0,62,4402
8664,1340072464, GUEST_INVITE       ,0,0,154,10802
2026,1340073994, GUEST_INVITE       ,1,1,17,11305
11750,1340100439, SIGNUP_GOOGLE_AUTH ,0,0,141,               NULL 
1479,1340103411, SIGNUP             ,1,0,300,               NULL 
4302,1340108428, PERSONAL_PROJECTS  ,0,0,6,               NULL 
6035,1340112835, ORG_INVITE         ,1,0,206,3780
1811,1340122171, SIGNUP_GOOGLE_AUTH ,1,1,33,               NULL 
11236,1340122904, GUEST_INVITE       ,0,0,389,11236
1846,1340138732, SIGNUP             ,0,0,255,               NULL 
1656,1340145811, GUEST_INVITE       ,0,0,296,9810
4189,1340147363, ORG_INVITE         ,0,0,134,4189
10094,1340155089, ORG_INVITE         ,0,0,191,3002
10080,1340175442, GUEST_INVITE       ,0,0,192,9764
1274,1340177856, PERSONAL_PROJECTS  ,0,1,89,               NULL 
4243,1340188831, PERSONAL_PROJECTS  ,1,0,285,               NULL 
10637,1340191812, SIGNUP_GOOGLE_AUTH ,0,0,14,               NULL 
801,1340195684, GUEST_INVITE       ,0,0,1,5263
10505,1340201987, ORG_INVITE         ,0,0,229,55
4340,1340225628, PERSONAL_PROJECTS  ,1,1,199,               NULL 
10049,1340231597, GUEST_INVITE       ,0,0,365,10049
8529,1340231761, ORG_INVITE         ,0,0,139,3514
861,1340239683, PERSONAL_PROJECTS  ,0,0,290,               NULL 
2302,1340252918, SIGNUP             ,0,0,9,               NULL 
597,1340253354, ORG_INVITE         ,0,0,4,3789
5363,1340258183, SIGNUP             ,0,0,30,               NULL 
11267,1340258331, ORG_INVITE         ,1,1,117,11267
9510,1340259655, ORG_INVITE         ,0,1,240,10954
746,1340261715, PERSONAL_PROJECTS  ,1,0,22,               NULL 
6442,1340267740, PERSONAL_PROJECTS  ,1,1,9,               NULL 
6272,1340272169, ORG_INVITE         ,0,0,213,6272
11144,1340273631, GUEST_INVITE       ,0,0,30,9043
2486,1340274013, ORG_INVITE         ,0,0,27,6553
9223,1340274985, ORG_INVITE         ,0,0,196,7703
10759,1340276772, ORG_INVITE         ,0,0,94,1525
7536,1340278758, GUEST_INVITE       ,0,0,163,5153
2747,1340290916, SIGNUP_GOOGLE_AUTH ,0,0,258,               NULL 
7794,1340292751, PERSONAL_PROJECTS  ,1,1,202,               NULL 
6370,1340309993, SIGNUP_GOOGLE_AUTH ,1,1,217,               NULL 
10846,1340332483, ORG_INVITE         ,0,1,69,2251
2998,1340336792, SIGNUP_GOOGLE_AUTH ,0,0,218,               NULL 
643,1340341986, GUEST_INVITE       ,0,0,37,11746
4976,1340346531, ORG_INVITE         ,0,0,106,9420
9862,1340347038, GUEST_INVITE       ,0,0,90,6721
7340,1340351809, ORG_INVITE         ,0,0,343,7340
4309,1340352247, SIGNUP_GOOGLE_AUTH ,0,0,2,               NULL 
9728,1340354207, GUEST_INVITE       ,0,0,38,1824
10060,1340383289, ORG_INVITE         ,1,1,14,10637
11083,1340385961, GUEST_INVITE       ,1,1,185,7893
4118,1340388357, PERSONAL_PROJECTS  ,1,0,54,               NULL 
5748,1340389832, PERSONAL_PROJECTS  ,0,0,275,               NULL 
2922,1340402397, PERSONAL_PROJECTS  ,0,1,123,               NULL 
9476,1340403429, PERSONAL_PROJECTS  ,1,0,346,               NULL 
9023,1340412348, PERSONAL_PROJECTS  ,0,0,10,               NULL 
7928,1340419297, PERSONAL_PROJECTS  ,0,0,20,               NULL 
5757,1340424752, ORG_INVITE         ,1,0,22,746
9026,1340430481, GUEST_INVITE       ,0,0,47,5340
2125,1340430679, ORG_INVITE         ,0,0,127,8513
4923,1340450419, ORG_INVITE         ,1,0,156,4923
9312,1340452192, GUEST_INVITE       ,1,1,249,454
10670,1340460600, SIGNUP             ,0,0,45,               NULL 
960,1340467026, ORG_INVITE         ,1,0,293,5998
11674,1340470851, SIGNUP             ,0,0,10,               NULL 
6424,1340484452, ORG_INVITE         ,0,0,12,6424
6195,1340484904, PERSONAL_PROJECTS  ,0,0,212,               NULL 
2269,1340491077, SIGNUP             ,0,0,266,               NULL 
8911,1340498413, PERSONAL_PROJECTS  ,1,1,172,               NULL 
11986,1340499734, SIGNUP_GOOGLE_AUTH ,0,0,111,               NULL 
9439,1340508128, GUEST_INVITE       ,0,0,2,3445
1114,1340508293, GUEST_INVITE       ,0,0,331,1114
3789,1340513517, ORG_INVITE         ,0,0,4,4604
3742,1340531396, SIGNUP             ,0,0,204,               NULL 
4824,1340531864, ORG_INVITE         ,1,0,152,8890
8546,1340533043, ORG_INVITE         ,0,0,251,4835
9607,1340549555, PERSONAL_PROJECTS  ,0,0,174,               NULL 
1469,1340552417, ORG_INVITE         ,0,0,190,1469
8029,1340554558, SIGNUP_GOOGLE_AUTH ,1,0,175,               NULL 
2229,1340558355, GUEST_INVITE       ,0,0,245,2229
8140,1340568883, SIGNUP_GOOGLE_AUTH ,0,0,44,               NULL 
2238,1340569961, ORG_INVITE         ,0,0,108,11300
7119,1340581657, ORG_INVITE         ,0,0,411,10407
3192,1340589499, GUEST_INVITE       ,1,1,353,8738
3891,1340599281, PERSONAL_PROJECTS  ,1,0,393,               NULL 
6977,1340605448, ORG_INVITE         ,0,0,4,5448
10639,1340617169, ORG_INVITE         ,0,0,82,10628
10308,1340622611, PERSONAL_PROJECTS  ,0,0,87,               NULL 
11220,1340632565, GUEST_INVITE       ,0,0,104,1955
8043,1340632711, PERSONAL_PROJECTS  ,0,0,6,               NULL 
3623,1340634873, ORG_INVITE         ,0,0,364,3623
3307,1340643149, SIGNUP             ,0,0,201,               NULL 
10368,1340649693, ORG_INVITE         ,0,0,1,7085
565,1340651929, SIGNUP_GOOGLE_AUTH ,0,0,249,               NULL 
2915,1340653524, GUEST_INVITE       ,1,0,173,2915
6374,1340661110, GUEST_INVITE       ,0,0,218,2998
1903,1340666136, PERSONAL_PROJECTS  ,1,0,275,               NULL 
1484,1340675804, ORG_INVITE         ,1,0,39,8169
8792,1340687096, SIGNUP_GOOGLE_AUTH ,1,1,6,               NULL 
2040,1340687826, GUEST_INVITE       ,1,0,374,3422
3933,1340693909, PERSONAL_PROJECTS  ,0,0,143,               NULL 
7299,1340699116, SIGNUP             ,0,0,143,               NULL 
4957,1340702516, ORG_INVITE         ,0,0,1,801
11135,1340707679, PERSONAL_PROJECTS  ,0,0,281,               NULL 
1217,1340709569, PERSONAL_PROJECTS  ,0,0,4,               NULL 
6533,1340716085, PERSONAL_PROJECTS  ,0,0,144,               NULL 
1975,1340720813, SIGNUP             ,0,0,87,               NULL 
8446,1340721503, PERSONAL_PROJECTS  ,0,0,363,               NULL 
1587,1340722036, PERSONAL_PROJECTS  ,0,0,101,               NULL 
2806,1340731419, PERSONAL_PROJECTS  ,0,0,17,               NULL 
5609,1340732540, SIGNUP             ,0,0,211,               NULL 
730,1340732731, PERSONAL_PROJECTS  ,0,0,135,               NULL 
11398,1340737190, PERSONAL_PROJECTS  ,0,0,309,               NULL 
2962,1340737505, SIGNUP             ,0,0,116,               NULL 
7941,1340739614, GUEST_INVITE       ,0,0,166,8912
10767,1340751153, PERSONAL_PROJECTS  ,0,1,83,               NULL 
6028,1340758700, GUEST_INVITE       ,0,0,226,1551
4047,1340765790, PERSONAL_PROJECTS  ,1,0,22,               NULL 
3411,1340768461, SIGNUP_GOOGLE_AUTH ,0,0,154,               NULL 
3510,1340769149, SIGNUP             ,1,0,41,               NULL 
2126,1340772935, ORG_INVITE         ,1,0,53,8494
6706,1340777952, SIGNUP_GOOGLE_AUTH ,0,1,333,               NULL 
2856,1340780765, PERSONAL_PROJECTS  ,0,1,86,               NULL 
8034,1340798929, ORG_INVITE         ,1,0,136,8575
4652,1340805032, SIGNUP             ,0,0,7,               NULL 
6039,1340805141, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
10289,1340807818, PERSONAL_PROJECTS  ,0,0,0,               NULL 
9872,1340810907, SIGNUP_GOOGLE_AUTH ,0,0,2,               NULL 
4533,1340812944, GUEST_INVITE       ,0,0,17,7057
4272,1340818273, PERSONAL_PROJECTS  ,0,0,0,               NULL 
11160,1340819556, GUEST_INVITE       ,0,0,231,11160
5131,1340822057, SIGNUP             ,0,0,17,               NULL 
3077,1340822356, ORG_INVITE         ,0,0,14,9226
10606,1340828830, PERSONAL_PROJECTS  ,1,1,235,               NULL 
6851,1340830355, SIGNUP             ,1,1,25,               NULL 
4277,1340836988, SIGNUP             ,0,0,92,               NULL 
10869,1340843015, SIGNUP             ,0,0,275,               NULL 
7701,1340843682, GUEST_INVITE       ,0,1,11,8726
9919,1340848122, ORG_INVITE         ,0,0,376,7753
7110,1340856949, SIGNUP_GOOGLE_AUTH ,0,1,28,               NULL 
2423,1340862559, ORG_INVITE         ,0,0,12,9751
9083,1340870111, ORG_INVITE         ,1,0,265,7529
1807,1340883046, ORG_INVITE         ,0,0,4,2657
5644,1340892439, PERSONAL_PROJECTS  ,0,0,247,               NULL 
78,1340904999, PERSONAL_PROJECTS  ,1,0,16,               NULL 
8925,1340910306, SIGNUP_GOOGLE_AUTH ,0,0,9,               NULL 
912,1340910933, SIGNUP             ,0,0,252,               NULL 
1646,1340940378, ORG_INVITE         ,0,0,0,10320
10680,1340944720, ORG_INVITE         ,0,1,178,8480
4174,1340945497, PERSONAL_PROJECTS  ,1,0,147,               NULL 
7529,1340947142, ORG_INVITE         ,1,1,265,7529
7842,1340954709, SIGNUP_GOOGLE_AUTH ,0,0,307,               NULL 
69,1340964918, GUEST_INVITE       ,0,0,107,5022
706,1340968143, SIGNUP             ,0,0,361,               NULL 
5344,1340968247, GUEST_INVITE       ,0,0,112,5965
1738,1340970606, GUEST_INVITE       ,0,0,14,10707
2765,1340975486, GUEST_INVITE       ,1,1,334,2765
5153,1340976463, GUEST_INVITE       ,0,0,163,7536
9509,1340986141, PERSONAL_PROJECTS  ,0,0,108,               NULL 
4839,1340996936, PERSONAL_PROJECTS  ,1,0,331,               NULL 
10386,1340997476, SIGNUP             ,1,0,2,               NULL 
11133,1341001170, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
5348,1341009574, ORG_INVITE         ,0,0,112,5344
9292,1341017097, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
6954,1341018297, PERSONAL_PROJECTS  ,1,0,295,               NULL 
11350,1341021814, ORG_INVITE         ,0,0,0,5801
8643,1341047281, ORG_INVITE         ,0,0,112,5344
2920,1341049431, SIGNUP_GOOGLE_AUTH ,0,0,226,               NULL 
2994,1341054090, ORG_INVITE         ,1,0,7,9296
3940,1341057815, ORG_INVITE         ,0,0,18,7269
5040,1341065475, ORG_INVITE         ,0,0,108,11300
7653,1341081086, PERSONAL_PROJECTS  ,0,0,35,               NULL 
143,1341097017, GUEST_INVITE       ,0,0,325,7801
3345,1341113393, PERSONAL_PROJECTS  ,0,0,411,               NULL 
9324,1341117435, PERSONAL_PROJECTS  ,0,0,0,               NULL 
5213,1341130785, SIGNUP_GOOGLE_AUTH ,0,0,8,               NULL 
11335,1341131996, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
9764,1341136095, GUEST_INVITE       ,0,0,192,1722
6506,1341140090, SIGNUP_GOOGLE_AUTH ,1,1,15,               NULL 
11756,1341147581, SIGNUP_GOOGLE_AUTH ,1,0,223,               NULL 
6208,1341151281, GUEST_INVITE       ,0,0,377,5008
9006,1341171690, PERSONAL_PROJECTS  ,1,0,16,               NULL 
853,1341177740, SIGNUP_GOOGLE_AUTH ,0,0,5,               NULL 
593,1341179500, SIGNUP             ,1,1,208,               NULL 
1797,1341180472, PERSONAL_PROJECTS  ,1,0,0,               NULL 
190,1341190093, GUEST_INVITE       ,0,0,200,4430
842,1341190264, PERSONAL_PROJECTS  ,0,0,177,               NULL 
9449,1341192417, SIGNUP_GOOGLE_AUTH ,0,0,137,               NULL 
5386,1341216122, ORG_INVITE         ,0,0,56,5386
3227,1341224395, GUEST_INVITE       ,0,0,167,3227
8854,1341229004, GUEST_INVITE       ,0,0,82,8854
5627,1341235759, ORG_INVITE         ,0,0,311,6536
2938,1341243457, GUEST_INVITE       ,0,0,163,1175
6405,1341261770, PERSONAL_PROJECTS  ,0,0,72,               NULL 
8060,1341283450, SIGNUP             ,1,0,28,               NULL 
1600,1341293982, PERSONAL_PROJECTS  ,0,1,175,               NULL 
3156,1341309145, SIGNUP             ,1,1,225,               NULL 
