loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,open_acc,revol_bal,total_acc,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,bc_util,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_rev_tl_bal_gt_0,num_tl_90g_dpd_24m,num_tl_op_past_12m,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,fico_average
35000.0, 36 months,1353.93,F,10+ years,OWN,79000.0,Verified,0,debt_consolidation,29.73,0.0,11.0,3806.0,34.0,0.0,59379.0,4900.0,5398.0,81.5,0.0,0.0,3.0,4.0,3.0,8.0,4.0,0.0,4.0,59379.0,4600.0,84742.0,677.0
15000.0, 36 months,507.95,C,10+ years,MORTGAGE,70000.0,Source Verified,1,debt_consolidation,28.25,1.0,10.0,25057.0,24.0,0.0,37468.0,46400.0,4163.0,51.5,3.0,1.0,5.0,8.0,6.0,10.0,8.0,1.0,1.0,37468.0,30500.0,16691.0,662.0
7500.0, 36 months,273.98,D,9 years,MORTGAGE,43000.0,Source Verified,1,credit_card,27.93,1.0,9.0,5202.0,38.0,0.0,65376.0,12000.0,7264.0,43.3,3.0,1.0,3.0,5.0,4.0,9.0,5.0,0.0,4.0,65376.0,10400.0,69685.0,672.0
12450.0, 36 months,453.17,D,4 years,RENT,62000.0,Source Verified,1,debt_consolidation,14.42,0.0,10.0,4415.0,32.0,0.0,21856.0,7700.0,2186.0,88.9,1.0,4.0,6.0,8.0,6.0,13.0,8.0,0.0,3.0,21856.0,3300.0,20682.0,672.0
24125.0, 60 months,641.86,E,10+ years,MORTGAGE,55000.0,Source Verified,1,debt_consolidation,30.02,0.0,8.0,33586.0,19.0,0.0,175243.0,38800.0,21905.0,94.6,3.0,0.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,58051.0,30300.0,31719.0,717.0
10000.0, 36 months,323.43,B,10+ years,RENT,41000.0,Source Verified,0,debt_consolidation,31.64,0.0,13.0,7330.0,36.0,0.0,33129.0,19800.0,2548.0,90.2,0.0,0.0,4.0,6.0,4.0,22.0,6.0,0.0,1.0,33129.0,7600.0,47586.0,722.0
4650.0, 36 months,169.87,D,10+ years,RENT,65000.0,Not Verified,0,other,9.77,0.0,5.0,3631.0,16.0,0.0,15867.0,5100.0,3173.0,74.3,3.0,4.0,3.0,4.0,3.0,6.0,4.0,0.0,0.0,15867.0,2600.0,21146.0,677.0
2400.0, 36 months,81.28,C,7 years,RENT,33000.0,Not Verified,1,debt_consolidation,26.73,0.0,16.0,9177.0,29.0,0.0,58917.0,12900.0,3682.0,89.1,0.0,0.0,4.0,4.0,5.0,7.0,4.0,0.0,3.0,58917.0,10300.0,51620.0,672.0
20000.0, 36 months,694.29,C,2 years,RENT,63000.0,Verified,1,major_purchase,7.94,0.0,12.0,5751.0,19.0,0.0,21551.0,17600.0,1796.0,65.7,0.0,0.0,4.0,6.0,5.0,7.0,6.0,0.0,2.0,21551.0,7600.0,14938.0,667.0
2400.0, 36 months,80.86,C,10+ years,MORTGAGE,84000.0,Not Verified,0,debt_consolidation,7.15,10.0,8.0,8658.0,38.0,0.0,316104.0,10100.0,45158.0,65.7,6.0,3.0,1.0,4.0,1.0,18.0,4.0,3.0,1.0,8658.0,300.0,0.0,677.0
12800.0, 36 months,464.36,D,2 years,RENT,75000.0,Verified,1,debt_consolidation,29.74,1.0,8.0,15756.0,14.0,0.0,46900.0,21400.0,5863.0,93.8,0.0,0.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,46900.0,16000.0,57489.0,677.0
21100.0, 60 months,508.75,C,10+ years,OWN,60000.0,Verified,0,debt_consolidation,10.26,1.0,8.0,11844.0,34.0,0.0,334495.0,18900.0,55749.0,59.9,5.0,2.0,2.0,4.0,5.0,16.0,4.0,1.0,1.0,11844.0,16700.0,0.0,682.0
9600.0, 36 months,308.28,B,6 years,OWN,40800.0,Verified,1,credit_card,18.15,0.0,14.0,7673.0,23.0,0.0,210844.0,31200.0,16219.0,52.7,1.0,0.0,2.0,3.0,4.0,6.0,3.0,0.0,3.0,22062.0,12000.0,24544.0,747.0
15000.0, 36 months,456.54,A,< 1 year,MORTGAGE,115000.0,Not Verified,1,home_improvement,16.17,0.0,10.0,17694.0,24.0,0.0,260757.0,42000.0,28973.0,42.1,3.0,0.0,3.0,3.0,6.0,7.0,3.0,0.0,1.0,37762.0,42000.0,57469.0,742.0
6000.0, 36 months,189.1,A,10+ years,OWN,24000.0,Verified,1,debt_consolidation,9.4,1.0,11.0,659.0,54.0,0.0,659.0,21300.0,60.0,6.5,0.0,0.0,5.0,8.0,5.0,31.0,8.0,0.0,3.0,659.0,10100.0,0.0,677.0
24000.0, 36 months,747.88,A,< 1 year,RENT,170000.0,Verified,1,debt_consolidation,15.62,0.0,16.0,33172.0,35.0,0.0,370686.0,60574.0,24712.0,57.6,1.0,0.0,5.0,5.0,8.0,14.0,5.0,0.0,1.0,370686.0,57574.0,360175.0,712.0
9025.0, 36 months,315.56,C,1 year,RENT,45000.0,Not Verified,0,debt_consolidation,3.95,0.0,9.0,3125.0,28.0,0.0,3125.0,5650.0,390.0,92.0,2.0,0.0,3.0,8.0,6.0,8.0,4.0,0.0,4.0,3125.0,3000.0,0.0,667.0
14125.0, 36 months,445.18,A,5 years,MORTGAGE,110152.0,Source Verified,1,debt_consolidation,19.4,0.0,11.0,48949.0,26.0,0.0,565934.0,80500.0,56593.0,60.8,6.0,1.0,5.0,5.0,9.0,15.0,5.0,0.0,0.0,48949.0,80500.0,0.0,717.0
4125.0, 36 months,150.15,D,2 years,RENT,32000.0,Verified,1,debt_consolidation,34.09,0.0,10.0,4046.0,25.0,0.0,66021.0,15600.0,7336.0,96.6,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,66021.0,1700.0,72065.0,687.0
7200.0, 36 months,224.6,A,4 years,RENT,65000.0,Not Verified,1,credit_card,14.0,0.0,12.0,2046.0,20.0,0.0,23699.0,25200.0,1975.0,7.7,0.0,0.0,2.0,3.0,6.0,8.0,3.0,0.0,3.0,23699.0,18500.0,25500.0,742.0
10000.0, 36 months,365.3,D,< 1 year,RENT,36000.0,Verified,1,credit_card,27.41,0.0,11.0,12611.0,15.0,0.0,35599.0,29189.0,3236.0,83.4,0.0,0.0,4.0,7.0,4.0,6.0,7.0,0.0,5.0,35599.0,13289.0,25445.0,662.0
8800.0, 36 months,308.87,C,7 years,MORTGAGE,48000.0,Source Verified,1,debt_consolidation,18.74,1.0,10.0,8732.0,25.0,0.0,143039.0,18100.0,15893.0,80.5,4.0,0.0,2.0,5.0,2.0,3.0,5.0,0.0,5.0,38147.0,2800.0,34397.0,692.0
6000.0, 36 months,206.44,C,2 years,MORTGAGE,80000.0,Not Verified,1,credit_card,14.34,0.0,8.0,15829.0,30.0,0.0,155593.0,20700.0,19449.0,87.0,1.0,0.0,4.0,4.0,5.0,27.0,4.0,0.0,3.0,20192.0,18200.0,8850.0,672.0
25000.0, 36 months,842.23,B,10+ years,RENT,125000.0,Source Verified,1,debt_consolidation,10.4,0.0,11.0,23885.0,34.0,0.0,31082.0,47600.0,2826.0,65.1,3.0,0.0,4.0,5.0,5.0,8.0,5.0,0.0,1.0,31082.0,36200.0,17626.0,692.0
18000.0, 60 months,494.08,E,10+ years,RENT,70000.0,Source Verified,1,credit_card,18.91,2.0,7.0,14161.0,12.0,0.0,19742.0,28400.0,3290.0,50.5,0.0,0.0,3.0,4.0,5.0,10.0,4.0,0.0,1.0,19742.0,27900.0,30962.0,707.0
12000.0, 36 months,368.45,A,10+ years,OWN,124000.0,Not Verified,1,other,14.56,0.0,8.0,6568.0,18.0,0.0,301684.0,46200.0,37711.0,18.1,3.0,0.0,3.0,3.0,3.0,6.0,3.0,0.0,2.0,52063.0,36200.0,76206.0,802.0
16000.0, 36 months,523.75,B,3 years,RENT,75000.0,Verified,0,credit_card,20.82,3.0,11.0,9349.0,24.0,0.0,136149.0,12700.0,15128.0,75.9,6.0,3.0,4.0,6.0,6.0,7.0,6.0,3.0,1.0,136149.0,10200.0,80767.0,667.0
15000.0, 36 months,478.19,B,10+ years,MORTGAGE,65000.0,Source Verified,1,debt_consolidation,4.23,0.0,12.0,4391.0,28.0,0.0,122525.0,39600.0,10210.0,8.9,2.0,1.0,6.0,9.0,8.0,14.0,9.0,0.0,3.0,4391.0,35400.0,0.0,722.0
20400.0, 36 months,664.4,B,10+ years,MORTGAGE,106000.0,Verified,0,credit_card,14.89,0.0,8.0,17966.0,13.0,0.0,219590.0,35900.0,27449.0,92.2,3.0,0.0,2.0,4.0,2.0,3.0,4.0,0.0,1.0,41506.0,18400.0,42310.0,737.0
15000.0, 36 months,515.08,C,3 years,RENT,95000.0,Not Verified,1,debt_consolidation,8.14,1.0,18.0,7867.0,32.0,0.0,45155.0,18000.0,3010.0,29.2,0.0,0.0,3.0,9.0,5.0,18.0,9.0,1.0,1.0,45155.0,6400.0,38162.0,712.0
35000.0, 36 months,1179.12,C,< 1 year,MORTGAGE,110000.0,Verified,0,debt_consolidation,34.96,1.0,13.0,49393.0,25.0,0.0,310063.0,73600.0,23851.0,84.7,3.0,0.0,5.0,8.0,5.0,7.0,8.0,0.0,3.0,149455.0,55600.0,193488.0,697.0
3000.0, 36 months,96.09,B,10+ years,MORTGAGE,65000.0,Source Verified,1,medical,29.38,0.0,15.0,7520.0,28.0,0.0,176323.0,28100.0,11755.0,7.1,2.0,1.0,2.0,6.0,5.0,8.0,6.0,0.0,3.0,37650.0,11500.0,21505.0,717.0
6750.0, 36 months,230.64,C,3 years,MORTGAGE,15600.0,Source Verified,1,credit_card,28.23,0.0,7.0,8096.0,13.0,0.0,8096.0,12500.0,1349.0,69.9,0.0,0.0,4.0,6.0,5.0,9.0,6.0,0.0,0.0,8096.0,9300.0,0.0,672.0
8725.0, 36 months,299.48,C,10+ years,MORTGAGE,52000.0,Verified,1,credit_card,13.25,0.0,8.0,22182.0,23.0,99.0,215250.0,31900.0,26906.0,70.7,1.0,0.0,5.0,6.0,5.0,12.0,6.0,0.0,1.0,22182.0,29300.0,0.0,692.0
20000.0, 36 months,635.07,A,5 years,MORTGAGE,70000.0,Verified,1,debt_consolidation,7.3,0.0,8.0,14444.0,17.0,0.0,178808.0,49900.0,22351.0,29.3,1.0,0.0,3.0,4.0,5.0,8.0,4.0,0.0,1.0,19230.0,46900.0,7179.0,737.0
20000.0, 36 months,623.23,A,10+ years,MORTGAGE,107000.0,Verified,1,debt_consolidation,7.7,0.0,10.0,21490.0,22.0,0.0,242012.0,42500.0,24201.0,68.4,3.0,0.0,5.0,5.0,5.0,10.0,5.0,0.0,0.0,35450.0,31400.0,17529.0,702.0
1975.0, 36 months,71.89,D,10+ years,RENT,35000.0,Not Verified,1,debt_consolidation,13.47,1.0,3.0,867.0,4.0,0.0,35824.0,2800.0,11941.0,34.7,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,35824.0,2500.0,22604.0,662.0
15000.0, 36 months,491.01,B,4 years,RENT,41000.0,Not Verified,1,credit_card,21.78,1.0,8.0,13862.0,29.0,0.0,50326.0,20900.0,7189.0,90.2,0.0,1.0,3.0,4.0,3.0,8.0,4.0,1.0,0.0,50326.0,9500.0,35220.0,672.0
7500.0, 36 months,273.0,D,4 years,MORTGAGE,66000.0,Not Verified,1,other,24.04,0.0,13.0,18769.0,41.0,0.0,123926.0,31500.0,10327.0,81.5,3.0,0.0,2.0,7.0,2.0,8.0,7.0,0.0,1.0,52609.0,9100.0,42337.0,702.0
20000.0, 36 months,630.34,A,1 year,MORTGAGE,80000.0,Not Verified,1,debt_consolidation,13.31,1.0,7.0,28284.0,21.0,0.0,315888.0,36100.0,45127.0,80.3,3.0,0.0,3.0,5.0,3.0,7.0,5.0,0.0,1.0,37148.0,33100.0,12765.0,687.0
5000.0, 36 months,171.62,C,1 year,MORTGAGE,52000.0,Verified,1,credit_card,33.43,0.0,10.0,14332.0,27.0,0.0,212548.0,21100.0,23616.0,88.7,1.0,0.0,2.0,6.0,2.0,9.0,6.0,0.0,5.0,39429.0,7000.0,43029.0,702.0
3750.0, 36 months,128.34,B,n/a,MORTGAGE,40000.0,Verified,1,debt_consolidation,31.32,0.0,11.0,13713.0,21.0,0.0,172283.0,20700.0,19143.0,65.4,3.0,2.0,6.0,7.0,6.0,9.0,7.0,0.0,2.0,20046.0,19900.0,19005.0,687.0
7500.0, 36 months,249.08,B,8 years,MORTGAGE,35000.0,Verified,1,debt_consolidation,24.49,2.0,13.0,5918.0,20.0,115.0,121424.0,12200.0,10119.0,80.3,1.0,1.0,3.0,6.0,3.0,5.0,6.0,0.0,0.0,24548.0,5000.0,29815.0,687.0
9000.0, 36 months,332.28,D,9 years,RENT,42000.0,Verified,1,debt_consolidation,19.66,0.0,15.0,6993.0,30.0,289.0,81172.0,16300.0,5411.0,88.3,0.0,0.0,5.0,11.0,5.0,6.0,11.0,0.0,1.0,81172.0,5500.0,78929.0,677.0
20000.0, 36 months,660.0,B,10+ years,MORTGAGE,68000.0,Verified,1,credit_card,20.31,0.0,11.0,15154.0,31.0,0.0,55117.0,37600.0,5512.0,43.8,0.0,0.0,2.0,3.0,5.0,14.0,3.0,0.0,4.0,55117.0,25500.0,61877.0,742.0
21000.0, 36 months,657.1,A,10+ years,MORTGAGE,73000.0,Verified,0,debt_consolidation,2.27,1.0,15.0,13699.0,30.0,0.0,35850.0,74900.0,2561.0,19.4,1.0,0.0,3.0,3.0,12.0,21.0,3.0,0.0,3.0,13699.0,70500.0,0.0,717.0
2400.0, 36 months,88.61,E,10+ years,MORTGAGE,42000.0,Verified,1,debt_consolidation,27.43,1.0,16.0,13977.0,29.0,0.0,23593.0,28300.0,1685.0,42.1,0.0,1.0,3.0,10.0,4.0,8.0,10.0,0.0,6.0,23593.0,9500.0,16960.0,672.0
17000.0, 60 months,450.12,D,10+ years,MORTGAGE,43000.0,Source Verified,1,debt_consolidation,15.82,1.0,7.0,17352.0,25.0,0.0,103573.0,22400.0,14796.0,34.9,1.0,0.0,1.0,6.0,1.0,12.0,6.0,0.0,1.0,17352.0,800.0,0.0,697.0
10000.0, 60 months,248.48,D,2 years,RENT,55000.0,Source Verified,1,debt_consolidation,30.17,1.0,8.0,5183.0,22.0,0.0,31667.0,9100.0,3958.0,96.0,0.0,1.0,2.0,5.0,2.0,3.0,5.0,1.0,0.0,31667.0,1800.0,53197.0,667.0
19400.0, 60 months,469.72,C,8 years,MORTGAGE,72000.0,Verified,1,home_improvement,24.27,1.0,11.0,15306.0,17.0,0.0,343810.0,23919.0,31255.0,66.2,2.0,0.0,3.0,3.0,3.0,5.0,3.0,0.0,1.0,50526.0,23119.0,61025.0,677.0
4000.0, 36 months,147.68,D,10+ years,RENT,50000.0,Not Verified,1,debt_consolidation,6.38,0.0,6.0,3256.0,12.0,99.0,7063.0,4700.0,1413.0,8.8,0.0,0.0,1.0,4.0,2.0,5.0,4.0,0.0,3.0,7063.0,900.0,4000.0,682.0
12000.0, 36 months,406.36,C,1 year,RENT,47400.0,Source Verified,1,debt_consolidation,17.11,0.0,7.0,24662.0,9.0,0.0,33296.0,26100.0,5549.0,94.5,0.0,0.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,33296.0,26100.0,16467.0,672.0
10000.0, 36 months,350.59,C,10+ years,RENT,73420.0,Source Verified,1,debt_consolidation,8.01,0.0,9.0,6750.0,10.0,0.0,14365.0,7900.0,1796.0,82.1,0.0,0.0,6.0,7.0,6.0,7.0,7.0,0.0,1.0,14365.0,6500.0,8936.0,702.0
14000.0, 36 months,471.65,B,10+ years,RENT,100000.0,Source Verified,1,debt_consolidation,13.5,0.0,7.0,15479.0,23.0,0.0,41374.0,18300.0,5911.0,59.3,4.0,1.0,2.0,4.0,2.0,3.0,4.0,0.0,2.0,41374.0,6800.0,34822.0,667.0
5000.0, 36 months,168.45,B,n/a,OWN,18700.0,Verified,1,home_improvement,11.17,0.0,9.0,8939.0,43.0,0.0,8939.0,32300.0,1277.0,35.5,3.0,0.0,4.0,4.0,4.0,24.0,4.0,0.0,2.0,8939.0,25200.0,0.0,687.0
16450.0, 36 months,592.82,D,8 years,RENT,37000.0,Verified,1,debt_consolidation,34.74,0.0,8.0,13463.0,13.0,0.0,40208.0,14700.0,5026.0,95.5,0.0,0.0,6.0,7.0,6.0,9.0,7.0,0.0,2.0,40208.0,10500.0,34779.0,692.0
7000.0, 36 months,235.36,B,5 years,MORTGAGE,48000.0,Source Verified,1,debt_consolidation,8.5,0.0,14.0,9625.0,38.0,0.0,9625.0,22700.0,740.0,76.6,6.0,4.0,4.0,8.0,4.0,11.0,8.0,0.0,3.0,9625.0,8500.0,0.0,672.0
24000.0, 36 months,785.62,B,5 years,RENT,150000.0,Source Verified,1,credit_card,1.66,0.0,8.0,10377.0,13.0,0.0,221302.0,77100.0,31615.0,14.8,2.0,0.0,1.0,1.0,5.0,8.0,1.0,0.0,0.0,10377.0,70100.0,0.0,767.0
17000.0, 36 months,531.94,A,5 years,MORTGAGE,57000.0,Verified,1,debt_consolidation,29.35,0.0,16.0,9519.0,29.0,0.0,277149.0,44500.0,18477.0,25.4,3.0,0.0,6.0,6.0,8.0,11.0,6.0,0.0,1.0,52489.0,37500.0,58691.0,777.0
20000.0, 60 months,524.56,E,7 years,MORTGAGE,69200.0,Verified,1,debt_consolidation,30.02,0.0,14.0,14891.0,37.0,3878.0,267827.0,40500.0,19131.0,79.6,6.0,2.0,4.0,6.0,4.0,9.0,6.0,0.0,5.0,80477.0,11700.0,75933.0,697.0
15200.0, 36 months,488.4,B,3 years,MORTGAGE,56000.0,Not Verified,1,debt_consolidation,28.91,0.0,14.0,40465.0,39.0,0.0,158721.0,83700.0,11337.0,44.6,2.0,0.0,7.0,9.0,8.0,18.0,9.0,0.0,3.0,47374.0,73600.0,9566.0,677.0
9000.0, 36 months,300.44,B,9 years,MORTGAGE,68000.0,Verified,1,debt_consolidation,15.91,0.0,10.0,9350.0,21.0,0.0,174726.0,15900.0,19414.0,57.7,1.0,3.0,6.0,8.0,6.0,10.0,8.0,0.0,1.0,9350.0,13800.0,0.0,667.0
16000.0, 36 months,517.48,B,10+ years,OWN,104000.0,Verified,1,debt_consolidation,9.01,0.0,14.0,16335.0,26.0,0.0,19579.0,27600.0,1399.0,69.7,0.0,0.0,8.0,11.0,8.0,14.0,11.0,0.0,0.0,19579.0,20100.0,8436.0,687.0
20000.0, 36 months,635.07,A,3 years,MORTGAGE,154450.0,Verified,1,credit_card,22.82,0.0,18.0,14529.0,37.0,0.0,687699.0,40000.0,40453.0,42.4,6.0,0.0,5.0,7.0,7.0,15.0,7.0,0.0,3.0,71462.0,18700.0,65111.0,727.0
9750.0, 36 months,333.14,C,6 years,MORTGAGE,33000.0,Verified,1,debt_consolidation,32.29,0.0,20.0,12087.0,29.0,0.0,162560.0,16900.0,8128.0,89.8,4.0,0.0,2.0,6.0,2.0,3.0,6.0,0.0,1.0,58955.0,5500.0,43741.0,677.0
4000.0, 36 months,150.71,E,10+ years,MORTGAGE,42000.0,Not Verified,1,home_improvement,3.11,1.0,5.0,3072.0,10.0,0.0,3072.0,7800.0,614.0,74.9,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,3072.0,4100.0,0.0,667.0
7200.0, 36 months,221.07,A,3 years,RENT,65000.0,Verified,1,credit_card,13.79,0.0,6.0,16162.0,22.0,0.0,427162.0,33600.0,71194.0,48.1,2.0,0.0,4.0,4.0,4.0,13.0,4.0,0.0,3.0,34885.0,33600.0,21304.0,737.0
15000.0, 36 months,506.21,B,8 years,RENT,59000.0,Not Verified,1,debt_consolidation,20.64,0.0,10.0,20308.0,29.0,0.0,33831.0,25700.0,3383.0,79.3,0.0,0.0,7.0,8.0,8.0,19.0,8.0,0.0,1.0,33831.0,24500.0,28056.0,677.0
20575.0, 60 months,426.11,A,10+ years,MORTGAGE,115200.0,Verified,1,debt_consolidation,13.67,0.0,16.0,29816.0,40.0,0.0,386880.0,77800.0,25792.0,27.6,6.0,0.0,5.0,7.0,7.0,14.0,7.0,0.0,2.0,59589.0,55300.0,44989.0,737.0
12250.0, 36 months,426.52,C,5 years,OWN,35000.0,Verified,0,debt_consolidation,25.85,1.0,16.0,18196.0,22.0,0.0,32787.0,52100.0,2049.0,35.4,0.0,0.0,5.0,6.0,9.0,10.0,7.0,0.0,2.0,32787.0,49900.0,17791.0,697.0
7000.0, 36 months,226.37,B,2 years,MORTGAGE,60486.4,Verified,0,credit_card,3.85,0.0,9.0,6556.0,15.0,0.0,291242.0,6800.0,32360.0,96.4,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,23808.0,6800.0,13624.0,672.0
4000.0, 36 months,122.82,A,7 years,RENT,88000.0,Not Verified,1,credit_card,4.68,0.0,5.0,4693.0,19.0,0.0,14293.0,24000.0,2859.0,19.6,0.0,0.0,3.0,3.0,3.0,8.0,3.0,0.0,0.0,14293.0,24000.0,18294.0,757.0
2700.0, 36 months,96.63,C,10+ years,OWN,32000.0,Verified,1,debt_consolidation,3.9,0.0,4.0,3467.0,9.0,0.0,3467.0,3800.0,867.0,91.2,1.0,0.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,3467.0,3800.0,0.0,702.0
6000.0, 36 months,202.49,B,10+ years,MORTGAGE,25112.0,Not Verified,0,debt_consolidation,15.67,0.0,10.0,6679.0,18.0,0.0,68501.0,15800.0,6850.0,43.2,2.0,0.0,5.0,6.0,7.0,13.0,6.0,0.0,1.0,14035.0,14600.0,0.0,707.0
12575.0, 36 months,467.27,E,3 years,RENT,35000.0,Source Verified,0,debt_consolidation,30.66,0.0,7.0,4489.0,24.0,0.0,36753.0,9500.0,7351.0,59.9,0.0,0.0,2.0,2.0,3.0,4.0,2.0,0.0,4.0,36753.0,7500.0,36857.0,687.0
16000.0, 36 months,514.1,B,6 years,RENT,79000.0,Not Verified,1,debt_consolidation,8.79,0.0,43.0,10669.0,62.0,0.0,10669.0,134700.0,260.0,10.6,0.0,0.0,15.0,22.0,24.0,30.0,22.0,0.0,1.0,10669.0,93900.0,0.0,727.0
12000.0, 36 months,403.47,B,7 years,MORTGAGE,45000.0,Verified,1,car,15.84,0.0,4.0,3837.0,13.0,0.0,179570.0,4500.0,44893.0,85.3,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,15976.0,4500.0,22146.0,697.0
9600.0, 36 months,298.58,A,1 year,MORTGAGE,36270.0,Not Verified,0,debt_consolidation,18.0,0.0,7.0,3822.0,32.0,0.0,150150.0,5100.0,25025.0,95.5,1.0,0.0,2.0,2.0,2.0,12.0,2.0,0.0,2.0,13243.0,4000.0,19986.0,672.0
4000.0, 36 months,130.94,B,3 years,RENT,40000.0,Not Verified,0,credit_card,10.35,0.0,9.0,2066.0,10.0,0.0,35080.0,6700.0,3898.0,32.2,0.0,0.0,5.0,6.0,7.0,7.0,6.0,0.0,0.0,35080.0,6400.0,25000.0,682.0
12500.0, 60 months,297.31,C,1 year,MORTGAGE,38000.0,Source Verified,0,debt_consolidation,12.32,0.0,11.0,12747.0,21.0,0.0,89771.0,16600.0,8161.0,99.2,1.0,0.0,4.0,7.0,4.0,6.0,7.0,0.0,1.0,25245.0,7600.0,11408.0,682.0
12000.0, 36 months,373.94,A,10+ years,MORTGAGE,92500.0,Not Verified,1,debt_consolidation,2.39,0.0,13.0,9587.0,26.0,0.0,184033.0,32800.0,15336.0,39.1,3.0,0.0,4.0,6.0,6.0,10.0,6.0,0.0,3.0,9587.0,13700.0,0.0,747.0
10000.0, 36 months,341.68,C,< 1 year,RENT,35000.0,Not Verified,0,debt_consolidation,11.45,0.0,7.0,8363.0,14.0,0.0,14615.0,9800.0,2088.0,110.7,0.0,0.0,4.0,5.0,4.0,7.0,5.0,0.0,1.0,14615.0,7500.0,11142.0,667.0
8000.0, 36 months,291.19,D,2 years,MORTGAGE,60000.0,Verified,1,debt_consolidation,14.3,0.0,11.0,26715.0,18.0,0.0,251057.0,37000.0,22823.0,86.9,1.0,0.0,1.0,8.0,2.0,4.0,8.0,0.0,6.0,26715.0,8000.0,0.0,677.0
